file_id,abs,afek,aeg,arg,form,imp,info,inst,inter,keer,spont,subj,noun,adj,propn,adv,intj,cconj,sconj,adp,det,num,punct,symbol,particle,pron,abbr,TTR,avg_word_len,avr_sent_len,hapax_legomena,coref,see_pron,see_det,1st_pron,2nd_pron,3rd_pron,active_voice,passive_voice,1st_prs_verb,2nd_prs_verb,3rd_prs_verb,core_verb,verbtype_ratio,da_inf,gerund,supine,verb_particle,discourse,pres_tense,past_tense,ind_mood,cond_mood,imp_mood,quot_mood,neg_polarity,nom_case,gen_case,part_case,ill_case,ine_case,ela_case,alla_case,ade_case,abl_case,tra_case,ter_case,ess_case,abe_case,com_case,nsubj,nsubj_cop,modal,acl:relc,csubj,csubj_cop,obj,ccomp,xcomp,obl,nmod,appos,nummod,amod,advcl,voc,cop,conj,cc,yneemid,emoticons
uudised_err_ee.ela_541051,0.60,1.05,0.30,1.50,0.60,0.95,1.15,0.40,0.55,0.75,0.20,0.95,0.25,0.1029411765,0.06862745098,0.08333333333,0,0.01470588235,0.01960784314,0.03431372549,0.02450980392,0.01470588235,0.1715686275,0,0.04901960784,0.004901960784,0.6911764706,5.450980392,20.4,0.3970588235,0.1960784314,0.01470588235,0.009803921569,0.004901960784,0,0.01470588235,0.1225490196,0.01470588235,0.004901960784,0,0.07843137255,0.06862745098,1.75,0.02450980392,0,0.004901960784,0.02941176471,0,0.05392156863,0.07843137255,0.09803921569,0.004901960784,0,0,0.01470588235,0.1862745098,0.1029411765,0.07352941176,0.009803921569,0.04411764706,0.01470588235,0.004901960784,0.03431372549,0,0.004901960784,0,0,0,0.009803921569,0.05392156863,0.02941176471,0.04901960784,0.009803921569,0,0,0.03921568627,0.01470588235,0,0.1470588235,0.05392156863,0.01470588235,0.01470588235,0.08333333333,0.01470588235,0,0.02450980392,0.02450980392,0.01470588235,0,0,0.004901960784
uuseesti_ee.ela_112397,0.60,0.50,0.80,0.45,2.00,1.75,1.25,0.35,0.50,1.00,0.50,0.25,0.3012048193,0.09638554217,0.1927710843,0.09638554217,0,0.03614457831,0.01204819277,0,0,0.01204819277,0.0843373494,0,0.02409638554,0.06024096386,0.7710843373,7.506024096,27.67,0.6024096386,0.08,0,0,0,0,0,0.1204819277,0,0,0,0.09638554217,0.02409638554,3,0.02409638554,0,0,0.01204819277,0,0.07228915663,0.04819277108,0.1084337349,0,0,0,0.01204819277,0.1807228916,0.1807228916,0.06024096386,0.02409638554,0.02409638554,0,0.04819277108,0.04819277108,0,0.01204819277,0,0,0,0,0.1084337349,0,0.01204819277,0.01204819277,0,0,0.06024096386,0.03614457831,0.02409638554,0.1204819277,0.1927710843,0.01204819277,0.01204819277,0.07228915663,0.01204819277,0,0,0.06024096386,0.03614457831,0,0,0.01204819277
valitsus_ee.ela_132104,0.60,0.50,0.50,1.40,2.40,2.40,1.80,1.00,0.20,1.10,0.30,0.25,0.4518518519,0.1185185185,0.02962962963,0.02962962963,0,0.06666666667,0.007407407407,0.007407407407,0.01481481481,0,0.1185185185,0,0.03703703704,0,0.7259259259,7.77037037,19.29,0.5481481481,0.08196721311,0.01481481481,0,0,0,0,0.1111111111,0.05185185185,0,0,0.05185185185,0.01481481481,0.5882352941,0.02962962963,0.007407407407,0,0.08888888889,0,0.1333333333,0.02962962963,0.07407407407,0,0,0,0,0.0962962963,0.2814814815,0.1185185185,0,0.04444444444,0.02222222222,0.01481481481,0.007407407407,0.007407407407,0.007407407407,0,0,0,0.02962962963,0.03703703704,0.007407407407,0.007407407407,0.02222222222,0,0,0.1111111111,0.06666666667,0.01481481481,0.08148148148,0.2,0,0,0.03703703704,0,0,0.007407407407,0.0962962963,0.06666666667,0,0,0.007407407407
valitsus_ee.ela_480708,1.50,1.90,0.50,1.15,0.70,0.65,0.85,0.70,0.85,0.45,0.25,1.90,0.1843137255,0.03921568627,0.07843137255,0.1019607843,0,0.05098039216,0.02352941176,0.02745098039,0.02745098039,0.01568627451,0.1254901961,0,0.1254901961,0.003921568627,0.6549019608,4.956862745,17,0.3803921569,0.6808510638,0.003921568627,0.003921568627,0.05490196078,0,0.007843137255,0.1294117647,0.01960784314,0.03921568627,0,0.05098039216,0.07058823529,2,0.03529411765,0.003921568627,0.007843137255,0.01568627451,0,0.0862745098,0.05490196078,0.1254901961,0,0,0,0.02352941176,0.1254901961,0.1490196078,0.0431372549,0.003921568627,0.03137254902,0.01176470588,0.03529411765,0.01960784314,0,0.02745098039,0,0,0,0.003921568627,0.06274509804,0.01568627451,0.03529411765,0.02745098039,0.007843137255,0,0.0431372549,0.05882352941,0.03137254902,0.1176470588,0.09019607843,0.003921568627,0.007843137255,0.01960784314,0.01960784314,0,0.01960784314,0.06274509804,0.05098039216,0,0,0.003921568627
valitsus_ee.ela_604239,1.50,0.35,0.40,1.00,2.05,2.40,1.65,1.20,0.30,1.50,0.25,0.45,0.347826087,0.1146245059,0.1383399209,0.05138339921,0,0.06719367589,0.00790513834,0.01976284585,0.00790513834,0,0.1146245059,0,0.01581027668,0.05928853755,0.6679841897,7.557312253,19.46,0.4268774704,0.04545454545,0,0,0,0,0,0.09881422925,0.02371541502,0,0,0.06324110672,0.03557312253,1.117647059,0.01976284585,0,0.00395256917,0.04347826087,0,0.09090909091,0.02766798419,0.07114624506,0.00395256917,0,0,0,0.1422924901,0.2766798419,0.0790513834,0,0.05533596838,0.00395256917,0.00790513834,0.00395256917,0,0.02766798419,0,0,0,0.01185770751,0.04347826087,0.01185770751,0.00790513834,0.00790513834,0,0.00395256917,0.07114624506,0.07114624506,0,0.07114624506,0.2371541502,0,0,0.06719367589,0.00790513834,0,0.01581027668,0.08695652174,0.06719367589,0,0,0.00395256917
video_usk_ee.ela_152445,1.15,0.80,0.40,2.15,0.10,1.30,0.55,0.15,0.35,0.20,0.30,2.30,0.2613065327,0.08040201005,0.05527638191,0.1206030151,0,0.05527638191,0.01005025126,0.02512562814,0.02512562814,0,0.1859296482,0,0.04020100503,0.01005025126,0.5527638191,4.693467337,19.9,0.3316582915,0.1538461538,0.02512562814,0.01507537688,0.01005025126,0,0,0.1055276382,0.01507537688,0,0,0.06532663317,0.09045226131,2.25,0.005025125628,0.005025125628,0.01005025126,0.02010050251,0,0.09045226131,0.02010050251,0.08542713568,0.005025125628,0,0,0.01507537688,0.175879397,0.1306532663,0.03015075377,0.005025125628,0.05527638191,0.01507537688,0.01005025126,0.005025125628,0,0,0,0.01005025126,0,0.01507537688,0.03015075377,0.04020100503,0.02512562814,0,0.005025125628,0,0.02010050251,0.06030150754,0.01005025126,0.05025125628,0.09045226131,0.01005025126,0,0.05025125628,0.02010050251,0,0.05025125628,0.08040201005,0.05527638191,0,0,0.005025125628
www_3dnews_ee.ela_435253,1.00,0.05,0.55,0.55,1.70,2.60,2.25,1.15,0.10,1.70,0.00,0.55,0.276119403,0.08208955224,0.09701492537,0.07462686567,0,0.0223880597,0,0.01492537313,0.02985074627,0.03731343284,0.1492537313,0,0.0223880597,0.007462686567,0.7089552239,6.097014925,14.89,0.5298507463,0.08108108108,0,0.007462686567,0,0,0,0.1194029851,0.0447761194,0,0,0.08955223881,0.08208955224,0.8235294118,0.05970149254,0.007462686567,0.007462686567,0.05223880597,0,0.1194029851,0.03731343284,0.1044776119,0,0,0,0.007462686567,0.1865671642,0.1194029851,0.1194029851,0.01492537313,0.03731343284,0.007462686567,0,0.007462686567,0,0.007462686567,0,0.007462686567,0,0.007462686567,0.03731343284,0.01492537313,0.05970149254,0.01492537313,0,0,0.08208955224,0.0223880597,0.007462686567,0.09701492537,0.0447761194,0.03731343284,0.01492537313,0.0447761194,0.01492537313,0,0.01492537313,0.05970149254,0.0223880597,0,0,0.007462686567
www_admiralmarkets_ee.ela_333517,0.80,0.10,1.65,0.65,1.20,2.10,2.05,0.60,0.00,0.85,0.00,0.20,0.3025210084,0.05042016807,0.02521008403,0.08403361345,0,0.03361344538,0.008403361345,0.05882352941,0.01680672269,0.06722689076,0.1176470588,0.05882352941,0.01680672269,0,0.6554621849,5.428571429,13.22,0.4117647059,0.05555555556,0.01680672269,0,0,0,0,0.1344537815,0.008403361345,0,0,0.1008403361,0.05882352941,1.714285714,0,0.01680672269,0,0.04201680672,0,0.04201680672,0.1008403361,0.1008403361,0,0,0,0.008403361345,0.1260504202,0.1512605042,0.03361344538,0,0.08403361345,0.02521008403,0,0.008403361345,0,0,0,0,0,0.01680672269,0.0756302521,0.01680672269,0.04201680672,0,0,0,0.03361344538,0.03361344538,0,0.0756302521,0.1176470588,0,0.05882352941,0.05042016807,0.01680672269,0,0.01680672269,0.05882352941,0.03361344538,0,0,0.008403361345
www_admiralmarkets_ee.ela_456804,1.25,0.95,0.85,1.30,0.80,1.25,2.10,0.35,0.55,1.30,0.45,1.15,0.237037037,0.1037037037,0.05925925926,0.1555555556,0,0.02222222222,0.02962962963,0.02222222222,0.007407407407,0.01481481481,0.1037037037,0.01481481481,0.05185185185,0.007407407407,0.7703703704,5.718518519,19.29,0.6074074074,0.21875,0.01481481481,0,0,0,0.007407407407,0.1185185185,0.007407407407,0,0,0.08888888889,0.07407407407,1.875,0.03703703704,0.007407407407,0,0.01481481481,0,0.08888888889,0.03703703704,0.1111111111,0,0,0,0.02222222222,0.1333333333,0.1777777778,0.05185185185,0,0.03703703704,0.02222222222,0.007407407407,0.01481481481,0,0.007407407407,0,0,0,0,0.05185185185,0.02962962963,0.03703703704,0.007407407407,0,0.007407407407,0.05185185185,0.03703703704,0.02222222222,0.07407407407,0.1111111111,0.007407407407,0.01481481481,0.06666666667,0.02962962963,0,0.02962962963,0.02962962963,0.02222222222,0,0,0.007407407407
www_advent_ee.ela_658698,1.80,2.30,1.30,1.15,0.20,0.45,0.70,0.90,1.15,0.35,0.50,1.80,0.2265372168,0.05177993528,0.03236245955,0.09385113269,0,0.04854368932,0.01941747573,0.04207119741,0.02912621359,0.006472491909,0.1521035599,0,0.09061488673,0,0.7022653722,4.705501618,16.26,0.4466019417,0.4,0.009708737864,0.01294498382,0.03236245955,0.006472491909,0.01618122977,0.1812297735,0.006472491909,0.06796116505,0.003236245955,0.06472491909,0.1003236246,2.368421053,0.01294498382,0.006472491909,0.01618122977,0.02588996764,0,0.05501618123,0.1165048544,0.1359223301,0.006472491909,0.003236245955,0,0.009708737864,0.09708737864,0.1326860841,0.07766990291,0.006472491909,0.02588996764,0.01294498382,0.05825242718,0.01294498382,0.003236245955,0.006472491909,0,0,0,0.003236245955,0.04207119741,0.01941747573,0.02912621359,0.009708737864,0.003236245955,0.003236245955,0.05825242718,0.06148867314,0.01294498382,0.1262135922,0.071197411,0,0.006472491909,0.0355987055,0.02912621359,0,0.02265372168,0.071197411,0.04854368932,0,0,0.003236245955
