file_id,abs,afek,aeg,arg,form,imp,info,inst,inter,keer,spont,subj,noun,adj,propn,adv,intj,cconj,sconj,adp,det,num,punct,symbol,particle,pron,abbr,TTR,avg_word_len,avr_sent_len,hapax_legomena,coref,see_pron,see_det,first_pron,second_pron,third_pron,active_voice,passive_voice,first_prs_verb,second_prs_verb,third_prs_verb,core_verb,verbtype_ratio,da_inf,gerund,supine,verb_particle,pres_tense,past_tense,ind_mood,cond_mood,imp_mood,quot_mood,neg_polarity,nom_case,gen_case,part_case,ill_case,ine_case,ela_case,alla_case,ade_case,abl_case,tra_case,ter_case,ess_case,abe_case,com_case,nsubj,nsubj_cop,modal,acl_relc,csubj,csubj_cop,obj,ccomp,xcomp,obl,nmod,appos,nummod,amod,advcl,voc,cop,conj,cc
www_le_ee.ela_240831,0.25,0.5,2.7,0.55,1.6,1.25,1.8,0.55,0.35,0.5,0,0.3,0.3095,0.0556,0.0794,0.0397,0.0079,0.0635,0.0317,0.0397,0.0238,0.0635,0.1349,0.0079,0.0079,0.0556,0.0238,0.7302,5.2063,18,0.5635,0.1795,0.0159,0.0079,0.0159,0.0079,0.0159,0.1905,0.0159,0.0079,0.0079,0.127,0.1032,2.5714,0.0159,0.0079,0.0159,0.0476,0.0476,0.1508,0.1508,0.0079,0.0079,0.0079,0.0238,0.1905,0.2063,0.0397,0.0079,0.0317,0.0397,0.0238,0.0238,0.0079,0.0079,0.0079,0.0079,0.0079,0.0079,0.0952,0.0238,0.0476,0.0079,0.0159,0.0079,0.0714,0.0794,0.0159,0.1032,0.1111,0.0238,0.0476,0.0397,0.0079,0.0079,0.0238,0.0794,0.0635
www_lemmik_ee.ela_519214,0.15,0.6,0.55,0.55,0.45,0.85,0.65,0.5,0.9,0.55,0.2,0.3,0.339,0.0763,0.0847,0.0932,0.0085,0.0508,0.0339,0.0169,0.0085,0.0169,0.1441,0.0085,0.0085,0.0593,0.0085,0.7627,5.7542,16.86,0.6695,0.175,0.0085,0.0085,0.0085,0.0085,0.0254,0.1525,0.0169,0.0085,0.0085,0.1017,0.0847,1.8571,0.0169,0.0169,0.0085,0.0508,0.0932,0.0763,0.1186,0.0085,0.0085,0.0085,0.0254,0.1525,0.1864,0.0763,0.0085,0.0508,0.0254,0.0254,0.0508,0.0085,0.0254,0.0085,0.0085,0.0085,0.0169,0.0763,0.0254,0.0508,0.0169,0.0085,0.0085,0.0508,0.0678,0.0254,0.1186,0.1356,0.0254,0.0169,0.0593,0.0254,0.0085,0.0254,0.0678,0.0508
www_lillelapsed_ee.ela_607751,0.5,0.6,1.1,1.4,0.5,0.9,0.85,2.7,1.4,0.1,0.85,0.7,0.3435,0.0992,0.0076,0.1221,0.0076,0.0382,0.0153,0.0305,0.0229,0.0153,0.1221,0.0076,0.0076,0.0611,0.0076,0.7786,5.7481,10.08,0.4962,0.1778,0.0076,0.0076,0.0153,0.0076,0.0305,0.145,0.0076,0.0076,0.0534,0.0687,0.0992,1.3333,0.0534,0.0382,0.0153,0.0153,0.1374,0.0076,0.0763,0.0229,0.0458,0.0076,0.0153,0.1298,0.0916,0.0611,0.0153,0.0305,0.0611,0.0382,0.0305,0.0076,0.0534,0.0076,0.0153,0.0076,0.0382,0.0687,0.0153,0.0382,0.0153,0.0076,0.0153,0.0534,0.0382,0.0382,0.1756,0.0992,0.0076,0.0153,0.0687,0.0458,0.0076,0.0229,0.0382,0.0382
www_linnaleht_ee.ela_420357,0.3,2.1,0.6,0.95,0.05,0.45,0.6,0.7,1.3,0.4,1.25,2.3,0.2568,0.0685,0.0068,0.1438,0.0068,0.0411,0.0342,0.0308,0.0205,0.0137,0.1267,0.0034,0.0034,0.1199,0.0034,0.7158,5.089,15.37,0.4795,0.4667,0.0137,0.0103,0.0308,0.0034,0.0479,0.137,0.0034,0.0137,0.0068,0.089,0.0651,1.7368,0.0377,0.0137,0.0068,0.0205,0.089,0.0479,0.113,0.0068,0.0034,0.0034,0.024,0.1336,0.1507,0.0548,0.0068,0.0205,0.0308,0.0171,0.0411,0.0034,0.0068,0.0068,0.0068,0.0034,0.0274,0.0719,0.0205,0.0205,0.0103,0.0068,0.0068,0.0651,0.0616,0.0068,0.1096,0.1062,0.0034,0.0103,0.0377,0.0274,0.0034,0.024,0.0514,0.0411
www_linnateater_ee.ela_612249,2.05,1.4,0.25,1.4,0.1,0.65,0.45,0.35,2.25,0.85,1.8,2.8,0.1794,0.058,0.0132,0.1187,0.0026,0.0607,0.0343,0.0211,0.0369,0.0132,0.1926,0.0026,0.0026,0.1135,0.0026,0.5831,4.4828,19.95,0.3325,0.6324,0.0264,0.0158,0.0211,0.0132,0.0053,0.1372,0.0079,0.0237,0.0106,0.066,0.095,2,0.029,0.0106,0.0158,0.0132,0.1187,0.0132,0.1082,0.0079,0.0079,0.0026,0.0211,0.1609,0.1003,0.0712,0.0158,0.0317,0.0106,0.0132,0.0079,0.0053,0.0132,0.0026,0.0026,0.0026,0.0106,0.0422,0.0449,0.0396,0.0026,0.0079,0.0053,0.0422,0.0712,0.0211,0.0501,0.0554,0.0026,0.0106,0.0158,0.029,0.0053,0.0449,0.1082,0.0607
www_lounaleht_ee.ela_576969,0.35,0.4,0.75,0.45,0.7,1.25,0.65,0.25,0.8,0.2,0.1,0.45,0.3056,0.0833,0.0926,0.0648,0.0093,0.0463,0.0185,0.0278,0.0648,0.0463,0.1667,0.0093,0.0093,0.037,0.0093,0.787,5.6019,21.6,0.6389,0.1212,0,0.037,0.0093,0.0093,0.0093,0.0926,0.0463,0.0093,0.0093,0.0833,0.0648,6.5,0.0278,0.0093,0.0093,0.0093,0.1019,0.037,0.1204,0.0185,0.0093,0.0093,0.0185,0.1667,0.1852,0.0648,0.0185,0.0463,0.0278,0.0556,0.0463,0.0093,0.0093,0.0093,0.0093,0.0093,0.0278,0.0648,0.037,0.0278,0.0278,0.0093,0.0093,0.0556,0.0463,0.0093,0.1481,0.0926,0.0185,0.0463,0.0741,0.0093,0.0093,0.037,0.0556,0.0463
www_maaleht_ee.ela_246360,0.35,0.75,1.5,0.7,0.95,0.7,0.6,0.35,0.6,0.35,0.3,0.4,0.2893,0.0826,0.1157,0.0909,0.0083,0.0248,0.0579,0.0165,0.0331,0.0248,0.1405,0.0083,0.0083,0.0248,0.0165,0.7273,6.0083,17.29,0.6116,0.0857,0,0.0165,0.0083,0.0083,0.0248,0.1818,0.0165,0.0083,0.0083,0.1074,0.0579,2.2857,0.0165,0.0083,0.0248,0.0413,0.0826,0.0992,0.1405,0.0083,0.0083,0.0083,0.0413,0.1653,0.0744,0.0744,0.0248,0.0579,0.0331,0.0331,0.0579,0.0083,0.0248,0.0083,0.0083,0.0165,0.0248,0.1074,0.0248,0.0413,0.0083,0.0083,0.0165,0.0496,0.0496,0.0248,0.1322,0.0992,0.0165,0.0248,0.0496,0.0248,0.0083,0.0248,0.0248,0.0248
www_med24_ee.ela_557549,2.6,2.5,0.35,0.75,0.1,0.15,0.95,0.1,1.3,0.75,1.2,1.65,0.1903,0.0648,0.004,0.2065,0.004,0.081,0.0324,0.0243,0.0243,0.0162,0.1498,0.004,0.004,0.0931,0.0283,0.7126,4.6194,13.72,0.498,0.4894,0.0162,0.0081,0.0405,0.0162,0.0081,0.1255,0.0081,0.0283,0.0162,0.0405,0.0607,2.3636,0.0283,0.004,0.0081,0.0202,0.1053,0.0243,0.1053,0.0081,0.004,0.004,0.0364,0.1498,0.0769,0.0688,0.0081,0.0121,0.0162,0.004,0.0324,0.004,0.0162,0.004,0.004,0.004,0.004,0.0607,0.0283,0.0324,0.0081,0.004,0.004,0.0405,0.1012,0.0202,0.0567,0.0364,0.0121,0.0121,0.0445,0.0081,0.004,0.0283,0.0769,0.081
www_meiekirik_ee.ela_286284,1.3,0.65,0.2,1.15,0.5,0.7,0.75,0.75,1.15,0.75,0.15,0.5,0.2697,0.0987,0.0592,0.0526,0.0066,0.0395,0.0395,0.0197,0.0132,0.0132,0.1776,0.0066,0.0066,0.0724,0.0132,0.6382,6.0987,19,0.4342,0.2683,0.0066,0.0132,0.0066,0.0066,0.0132,0.1974,0.0263,0.0066,0.0066,0.1184,0.0724,1.3125,0.0263,0.0197,0.0395,0.0461,0.1447,0.0461,0.1316,0.0197,0.0066,0.0066,0.0132,0.1645,0.1382,0.0921,0.0395,0.0329,0.0132,0.0197,0.0132,0.0132,0.0263,0.0066,0.0066,0.0066,0.0197,0.1053,0.0132,0.0592,0.0263,0.0066,0.0066,0.0724,0.0724,0.0132,0.1053,0.0855,0.0197,0.0132,0.0592,0.0263,0.0066,0.0132,0.0526,0.0395
www_mesindus_ee.ela_33384,0.1,0.45,1.3,1.15,0.15,0.6,1,2.5,0.15,0.75,0.35,0.95,0.3192,0.0751,0.0094,0.1362,0.0047,0.0235,0.0516,0.0329,0.0469,0.0282,0.1268,0.0047,0.0047,0.0329,0.0047,0.7042,5.6244,14.2,0.4883,0.1029,0.0094,0.0235,0.0141,0.0047,0.0094,0.1455,0.0188,0.061,0.0047,0.0469,0.0563,2.3636,0.0188,0.0094,0.0094,0.0329,0.1408,0.0188,0.1174,0.0141,0.0047,0.0047,0.0235,0.1174,0.1549,0.0657,0.0235,0.0094,0.0329,0.0094,0.0376,0.0047,0.0516,0.0047,0.0047,0.0047,0.0188,0.0423,0.0235,0.0329,0.0094,0.0047,0.0047,0.0939,0.0282,0.0235,0.1127,0.0845,0.0047,0.0141,0.0423,0.0469,0.0047,0.0235,0.0235,0.0235
