file_id;noun;adj;propn;adv;intj;cconj;sconj;adp;det;num;punct;symbol;particle;pron;abbr;TTR;avg_word_len;avr_sent_len;hapax_legomena;coref;see_pron;see_det;1st_pron;2nd_pron;3rd_pron;active_voice;passive_voice;1st_prs_verb;2nd_prs_verb;3rd_prs_verb;core_verb;verbtype_ratio;da_inf;gerund;supine;verb_particle;discourse;pres_tense;past_tense;ind_mood;cond_mood;imp_mood;quot_mood;neg_polarity;nom_case;gen_case;part_case;ill_case;ine_case;ela_case;alla_case;ade_case;abl_case;tra_case;ter_case;ess_case;abe_case;com_case;nsubj;nsubj_cop;modal;acl:relc;csubj;csubj_cop;obj;ccomp;xcomp;obl;nmod;appos;nummod;amod;advcl;voc;cop;conj;cc;yneemid;emoticons
www_dragon_ee.ela_303548;0.20065789473684212;0.05921052631578947;0.013157894736842105;0.17434210526315788;0.006578947368421052;0.046052631578947366;0.02631578947368421;0.019736842105263157;0.023026315789473683;0.029605263157894735;0.14802631578947367;0.003289473684210526;;0.0756578947368421;0.019736842105263157;0.6875;4.615131578947368;15.2;0.46381578947368424;0.3770491803278688;0.013157894736842105;0.013157894736842105;0.03289473684210526;0.009868421052631578;0.003289473684210526;0.1513157894736842;0.013157894736842105;0.013157894736842105;0.009868421052631578;0.08223684210526316;0.10197368421052631;1.44;0.039473684210526314;0.009868421052631578;0.023026315789473683;0.023026315789473683;0.006578947368421052;0.02631578947368421;0.11842105263157894;0.1118421052631579;0.009868421052631578;0.006578947368421052;0.003289473684210526;0.023026315789473683;0.1611842105263158;0.039473684210526314;0.08223684210526316;0.02631578947368421;0.023026315789473683;0.023026315789473683;0.013157894736842105;0.019736842105263157;0.006578947368421052;0.003289473684210526;0.003289473684210526;0.006578947368421052;0.003289473684210526;0.009868421052631578;0.049342105263157895;0.039473684210526314;0.046052631578947366;0.006578947368421052;0.003289473684210526;0.009868421052631578;0.04276315789473684;0.049342105263157895;0.029605263157894735;0.10197368421052631;0.039473684210526314;0.009868421052631578;0.019736842105263157;0.03618421052631579;0.01644736842105263;0.003289473684210526;0.04276315789473684;0.06578947368421052;0.046052631578947366;0.003289473684210526;0.009868421052631578
www_jeesusekristusekirik_ee.ela_65555;0.33620689655172414;0.07758620689655173;0.16379310344827586;0.07758620689655173;0.008620689655172414;0.04310344827586207;0.02586206896551724;0.04310344827586207;0.017241379310344827;0.008620689655172414;0.1206896551724138;0.008620689655172414;;0.04310344827586207;0.017241379310344827;0.7844827586206896;5.672413793103448;19.33;0.6120689655172413;0.12820512820512822;0.008620689655172414;0.017241379310344827;0.008620689655172414;0.008620689655172414;0.008620689655172414;0.1206896551724138;0.02586206896551724;0.008620689655172414;0.008620689655172414;0.09482758620689655;0.0603448275862069;1.8333333333333333;0.02586206896551724;0.008620689655172414;0.017241379310344827;0.034482758620689655;0.008620689655172414;0.02586206896551724;0.11206896551724138;0.10344827586206896;0.008620689655172414;0.008620689655172414;0.008620689655172414;0.008620689655172414;0.29310344827586204;0.14655172413793102;0.05172413793103448;0.017241379310344827;0.008620689655172414;0.008620689655172414;0.02586206896551724;0.0603448275862069;0.008620689655172414;0.008620689655172414;0.008620689655172414;0.017241379310344827;0.008620689655172414;0.02586206896551724;0.08620689655172414;0.017241379310344827;0.034482758620689655;0.008620689655172414;0.008620689655172414;0.008620689655172414;0.05172413793103448;0.04310344827586207;0.017241379310344827;0.11206896551724138;0.12931034482758622;0.0603448275862069;0.008620689655172414;0.0603448275862069;0.02586206896551724;0.008620689655172414;0.017241379310344827;0.08620689655172414;0.04310344827586207;0.008620689655172414;0.008620689655172414
blablabla_ee.ela_504829;0.22943722943722944;0.047619047619047616;0.08658008658008658;0.11688311688311688;0.008658008658008658;0.06060606060606061;0.06493506493506493;0.008658008658008658;0.04329004329004329;0.004329004329004329;0.16017316017316016;0.004329004329004329;;0.047619047619047616;0.004329004329004329;0.658008658008658;5.043290043290043;21.0;0.44155844155844154;0.20754716981132074;0.004329004329004329;0.021645021645021644;0.008658008658008658;0.008658008658008658;0.008658008658008658;0.14285714285714285;0.03463203463203463;0.04329004329004329;0.012987012987012988;0.06926406926406926;0.0735930735930736;2.3076923076923075;0.021645021645021644;0.004329004329004329;0.017316017316017316;0.030303030303030304;0.008658008658008658;0.047619047619047616;0.11688311688311688;0.12987012987012986;0.004329004329004329;0.008658008658008658;0.004329004329004329;0.004329004329004329;0.16017316017316016;0.13852813852813853;0.06926406926406926;0.017316017316017316;0.025974025974025976;0.017316017316017316;0.008658008658008658;0.017316017316017316;0.004329004329004329;0.017316017316017316;0.004329004329004329;0.004329004329004329;0.004329004329004329;0.012987012987012988;0.047619047619047616;0.021645021645021644;0.017316017316017316;0.004329004329004329;0.004329004329004329;0.004329004329004329;0.07792207792207792;0.08225108225108226;0.025974025974025976;0.06926406926406926;0.08658008658008658;0.017316017316017316;0.004329004329004329;0.025974025974025976;0.03463203463203463;0.004329004329004329;0.017316017316017316;0.08225108225108226;0.06060606060606061;0.004329004329004329;0.004329004329004329
www_europarl_ee.ela_36110;0.33613445378151263;0.12605042016806722;0.14285714285714285;0.07563025210084033;0.008403361344537815;0.058823529411764705;0.03361344537815126;0.025210084033613446;0.03361344537815126;0.008403361344537815;0.10084033613445378;0.008403361344537815;;0.01680672268907563;0.008403361344537815;0.7563025210084033;7.495798319327731;23.8;0.48739495798319327;0.049999999999999996;0.0;0.01680672268907563;0.008403361344537815;0.008403361344537815;0.008403361344537815;0.1092436974789916;0.04201680672268908;0.008403361344537815;0.008403361344537815;0.08403361344537816;0.025210084033613446;1.375;0.03361344537815126;0.008403361344537815;0.025210084033613446;0.03361344537815126;0.008403361344537815;0.1092436974789916;0.025210084033613446;0.08403361344537816;0.025210084033613446;0.008403361344537815;0.008403361344537815;0.008403361344537815;0.1092436974789916;0.21008403361344538;0.1092436974789916;0.025210084033613446;0.03361344537815126;0.01680672268907563;0.025210084033613446;0.1092436974789916;0.008403361344537815;0.03361344537815126;0.008403361344537815;0.008403361344537815;0.008403361344537815;0.025210084033613446;0.06722689075630252;0.008403361344537815;0.008403361344537815;0.01680672268907563;0.008403361344537815;0.008403361344537815;0.11764705882352941;0.07563025210084033;0.025210084033613446;0.14285714285714285;0.16806722689075632;0.008403361344537815;0.008403361344537815;0.09243697478991597;0.01680672268907563;0.008403361344537815;0.008403361344537815;0.058823529411764705;0.058823529411764705;0.008403361344537815;0.008403361344537815
static_inimene_ee.ela_194968;0.37857142857142856;0.08571428571428572;0.007142857142857143;0.05714285714285714;0.007142857142857143;0.10714285714285714;0.02857142857142857;0.05714285714285714;0.02142857142857143;0.007142857142857143;0.1357142857142857;0.007142857142857143;;0.02857142857142857;0.007142857142857143;0.5357142857142857;6.45;17.5;0.2785714285714286;0.07547169811320754;0.014285714285714285;0.014285714285714285;0.007142857142857143;0.007142857142857143;0.007142857142857143;0.16428571428571428;0.014285714285714285;0.007142857142857143;0.007142857142857143;0.14285714285714285;0.05714285714285714;2.375;0.02857142857142857;0.014285714285714285;0.007142857142857143;0.03571428571428571;0.007142857142857143;0.16428571428571428;0.014285714285714285;0.14285714285714285;0.007142857142857143;0.007142857142857143;0.007142857142857143;0.007142857142857143;0.21428571428571427;0.22142857142857142;0.014285714285714285;0.014285714285714285;0.02857142857142857;0.007142857142857143;0.007142857142857143;0.02142857142857143;0.007142857142857143;0.007142857142857143;0.007142857142857143;0.007142857142857143;0.007142857142857143;0.014285714285714285;0.10714285714285714;0.02857142857142857;0.014285714285714285;0.014285714285714285;0.007142857142857143;0.007142857142857143;0.02142857142857143;0.10714285714285714;0.007142857142857143;0.06428571428571428;0.14285714285714285;0.007142857142857143;0.007142857142857143;0.03571428571428571;0.03571428571428571;0.007142857142857143;0.04285714285714286;0.1357142857142857;0.10714285714285714;0.007142857142857143;0.007142857142857143
www_nami-nami_ee.ela_456341;0.3;0.08666666666666667;0.02;0.09333333333333334;0.006666666666666667;0.04666666666666667;0.006666666666666667;0.02;0.03333333333333333;0.04666666666666667;0.21333333333333335;0.013333333333333334;;0.02;0.006666666666666667;0.64;5.38;15.0;0.43333333333333335;0.06666666666666667;0.0;0.013333333333333334;0.006666666666666667;0.006666666666666667;0.006666666666666667;0.18;0.013333333333333334;0.14;0.006666666666666667;0.013333333333333334;0.08;3.6666666666666665;0.013333333333333334;0.006666666666666667;0.02;0.02666666666666667;0.006666666666666667;0.02666666666666667;0.15333333333333332;0.15333333333333332;0.006666666666666667;0.006666666666666667;0.006666666666666667;0.013333333333333334;0.04666666666666667;0.17333333333333334;0.12666666666666668;0.02666666666666667;0.006666666666666667;0.02;0.03333333333333333;0.04;0.006666666666666667;0.02666666666666667;0.013333333333333334;0.006666666666666667;0.006666666666666667;0.02666666666666667;0.02;0.006666666666666667;0.02;0.006666666666666667;0.006666666666666667;0.006666666666666667;0.11333333333333333;0.04666666666666667;0.02666666666666667;0.12666666666666668;0.05333333333333334;0.013333333333333334;0.04666666666666667;0.08;0.006666666666666667;0.006666666666666667;0.006666666666666667;0.08;0.04666666666666667;0.006666666666666667;0.006666666666666667
www_porterracing_ee.ela_609577;0.272108843537415;0.08163265306122448;0.04081632653061224;0.14965986394557823;0.006802721088435374;0.06802721088435375;0.027210884353741496;0.027210884353741496;0.04081632653061224;0.034013605442176874;0.14285714285714285;0.006802721088435374;;0.047619047619047616;0.04081632653061224;0.7687074829931972;4.850340136054422;21.0;0.6394557823129252;0.17499999999999996;0.0;0.006802721088435374;0.013605442176870748;0.006802721088435374;0.006802721088435374;0.1360544217687075;0.013605442176870748;0.013605442176870748;0.006802721088435374;0.09523809523809523;0.07482993197278912;2.142857142857143;0.013605442176870748;0.013605442176870748;0.013605442176870748;0.034013605442176874;0.006802721088435374;0.013605442176870748;0.1292517006802721;0.10884353741496598;0.006802721088435374;0.006802721088435374;0.006802721088435374;0.013605442176870748;0.14285714285714285;0.11564625850340136;0.061224489795918366;0.013605442176870748;0.013605442176870748;0.006802721088435374;0.027210884353741496;0.02040816326530612;0.013605442176870748;0.02040816326530612;0.006802721088435374;0.006802721088435374;0.006802721088435374;0.02040816326530612;0.08163265306122448;0.013605442176870748;0.027210884353741496;0.02040816326530612;0.013605442176870748;0.006802721088435374;0.05442176870748299;0.06802721088435375;0.02040816326530612;0.09523809523809523;0.061224489795918366;0.006802721088435374;0.04081632653061224;0.061224489795918366;0.034013605442176874;0.006802721088435374;0.013605442176870748;0.07482993197278912;0.06802721088435375;0.006802721088435374;0.006802721088435374
www_ekspress_ee.ela_495829;0.2222222222222222;0.053497942386831275;0.053497942386831275;0.09465020576131687;0.00411522633744856;0.02880658436213992;0.02880658436213992;0.00823045267489712;0.03292181069958848;0.07818930041152264;0.18106995884773663;0.00411522633744856;;0.06172839506172839;0.012345679012345678;0.6790123456790124;5.42798353909465;13.5;0.4567901234567901;0.2777777777777778;0.01646090534979424;0.012345679012345678;0.00411522633744856;0.00823045267489712;0.01646090534979424;0.1646090534979424;0.012345679012345678;0.00411522633744856;0.01646090534979424;0.06995884773662552;0.10699588477366255;2.4615384615384617;0.0205761316872428;0.00411522633744856;0.01646090534979424;0.02880658436213992;0.00411522633744856;0.13168724279835392;0.03292181069958848;0.10699588477366255;0.0205761316872428;0.01646090534979424;0.00411522633744856;0.04938271604938271;0.2222222222222222;0.06584362139917696;0.05761316872427984;0.012345679012345678;0.0411522633744856;0.00411522633744856;0.01646090534979424;0.024691358024691357;0.00411522633744856;0.00823045267489712;0.00411522633744856;0.00411522633744856;0.00411522633744856;0.024691358024691357;0.06584362139917696;0.04526748971193416;0.05761316872427984;0.00823045267489712;0.00411522633744856;0.00411522633744856;0.02880658436213992;0.037037037037037035;0.0205761316872428;0.06172839506172839;0.053497942386831275;0.01646090534979424;0.0411522633744856;0.024691358024691357;0.024691358024691357;0.00411522633744856;0.04938271604938271;0.06995884773662552;0.02880658436213992;0.012345679012345678;0.00411522633744856
www_epl_ee.ela_685672;0.22255192878338279;0.04154302670623145;0.011869436201780416;0.13056379821958458;0.002967359050445104;0.03857566765578635;0.03560830860534125;0.020771513353115726;0.026706231454005934;0.017804154302670624;0.1543026706231454;0.002967359050445104;;0.10089020771513353;0.008902077151335312;0.658753709198813;4.753709198813056;13.48;0.37388724035608306;0.45333333333333337;0.011869436201780416;0.01483679525222552;0.002967359050445104;0.020771513353115726;0.020771513353115726;0.1543026706231454;0.020771513353115726;0.002967359050445104;0.020771513353115726;0.05934718100890208;0.12166172106824925;2.4210526315789473;0.020771513353115726;0.008902077151335312;0.02967359050445104;0.008902077151335312;0.002967359050445104;0.11572700296735905;0.032640949554896145;0.11869436201780416;0.01483679525222552;0.011869436201780416;0.002967359050445104;0.04451038575667656;0.16913946587537093;0.06824925816023739;0.07418397626112759;0.02967359050445104;0.02373887240356083;0.020771513353115726;0.02373887240356083;0.02373887240356083;0.002967359050445104;0.008902077151335312;0.005934718100890208;0.005934718100890208;0.002967359050445104;0.008902077151335312;0.05341246290801187;0.03857566765578635;0.06824925816023739;0.011869436201780416;0.002967359050445104;0.005934718100890208;0.06528189910979229;0.050445103857566766;0.02373887240356083;0.09495548961424333;0.05637982195845697;0.002967359050445104;0.011869436201780416;0.026706231454005934;0.03857566765578635;0.005934718100890208;0.03560830860534125;0.03857566765578635;0.03857566765578635;0.002967359050445104;0.002967359050445104
kalah_zzz_ee.ela_52237;0.30952380952380953;0.06349206349206349;0.047619047619047616;0.09523809523809523;0.007936507936507936;0.05555555555555555;0.031746031746031744;0.015873015873015872;0.03968253968253968;0.015873015873015872;0.21428571428571427;0.007936507936507936;;0.03968253968253968;0.023809523809523808;0.6507936507936508;5.166666666666667;21.0;0.4603174603174603;0.1282051282051282;0.015873015873015872;0.023809523809523808;0.015873015873015872;0.007936507936507936;0.015873015873015872;0.1349206349206349;0.007936507936507936;0.007936507936507936;0.007936507936507936;0.07936507936507936;0.07936507936507936;5.0;0.023809523809523808;0.007936507936507936;0.007936507936507936;0.015873015873015872;0.007936507936507936;0.1349206349206349;0.007936507936507936;0.12698412698412698;0.007936507936507936;0.007936507936507936;0.007936507936507936;0.06349206349206349;0.23015873015873015;0.11904761904761904;0.047619047619047616;0.007936507936507936;0.03968253968253968;0.047619047619047616;0.007936507936507936;0.007936507936507936;0.007936507936507936;0.015873015873015872;0.007936507936507936;0.007936507936507936;0.007936507936507936;0.015873015873015872;0.05555555555555555;0.06349206349206349;0.031746031746031744;0.007936507936507936;0.007936507936507936;0.007936507936507936;0.03968253968253968;0.05555555555555555;0.023809523809523808;0.05555555555555555;0.12698412698412698;0.015873015873015872;0.007936507936507936;0.015873015873015872;0.031746031746031744;0.007936507936507936;0.07142857142857142;0.07142857142857142;0.05555555555555555;0.007936507936507936;0.007936507936507936
