tekst,dimensioon,vastaja 1,vastaja 2,vastaja 3,vastaja 4,vastaja 5,vastaja 6,vastaja 7,vastaja 8,vastaja 9,vastaja 10,võrdlused
,interaktiivsus,2,,,,,,,,,,www_kv_ee.ela_199481.txt
,instrueerivus,3,,,,,,,,,,et_wikipedia_org.ela_191506.txt
,keerukus,1,1,,,,,,,,,et_wikipedia_org.ela_191506.txt arvamusaed_ee.ela_6007.txt
,subjektiivsus,,,,,,,,,,,
,spontaansus,1,2,,,,,,,,,et_wikipedia_org.ela_191506.txt
,impersonaalsus,3,3,3,1,2,,,,,,et_wikipedia_org.ela_191506.txt www_kv_ee.ela_199481.txt
,argumentatiivsus,2,1,,,,,,,,,www_kv_ee.ela_199481.txt
reisiajakiri_gomaailm_ee.ela_530539.txt,abstraktsus,,,,,,,,,,,
,infotihedus,2,1,1,2,3,2,,,,,www_vsport_ee.ela_120496.txt toompark_pri_ee.ela_458650.txt
,aja olulisus,1,3,2,2,,,,,,,toompark_pri_ee.ela_458650.txt
,afektiivsus,2,2,1,1,1,2,1,,,,www_vsport_ee.ela_120496.txt www_maaleht_ee.ela_246360.txt
,formaalsus,2,,,,,,,,,,www_vsport_ee.ela_120496.txt
,interaktiivsus,1,1,1,1,,,,,,,www_vsport_ee.ela_120496.txt www_maaleht_ee.ela_246360.txt
,instrueerivus,1,2,2,,,,,,,,arvamus_postimees_ee.ela_5946.txt toompark_pri_ee.ela_458650.txt
,keerukus,,,,,,,,,,,
,subjektiivsus,2,3,,,,,,,,,arvamus_postimees_ee.ela_5946.txt
,spontaansus,3,2,2,2,1,,,,,,arvamus_postimees_ee.ela_5946.txt www_maaleht_ee.ela_246360.txt
,impersonaalsus,2,,,,,,,,,,arvamus_postimees_ee.ela_5946.txt
,argumentatiivsus,1,1,1,,,,,,,,arvamus_postimees_ee.ela_5946.txt www_maaleht_ee.ela_246360.txt
www_vsport_ee.ela_120496.txt,abstraktsus,,,,,,,,,,,
,infotihedus,3,3,3,2,3,3,3,,,,valitsus_ee.ela_132104.txt reisiajakiri_gomaailm_ee.ela_530539.txt
,aja olulisus,3,3,3,3,2,2,3,2,2,3,valitsus_ee.ela_132104.txt reisiajakiri_gomaailm_ee.ela_530539.txt
,afektiivsus,1,3,1,1,1,,,,,,www_mod_gov_ee.ela_178680.txt reisiajakiri_gomaailm_ee.ela_530539.txt
,formaalsus,2,1,1,,,,,,,,reisiajakiri_gomaailm_ee.ela_530539.txt
,interaktiivsus,1,3,2,,,,,,,,www_mod_gov_ee.ela_178680.txt reisiajakiri_gomaailm_ee.ela_530539.txt
,instrueerivus,3,3,2,,,,,,,,bhr_balanss_ee.ela_565106.txt valitsus_ee.ela_132104.txt
,keerukus,2,2,1,2,1,,,,,,bhr_balanss_ee.ela_565106.txt valitsus_ee.ela_132104.txt
,subjektiivsus,1,2,,,,,,,,,bhr_balanss_ee.ela_565106.txt valitsus_ee.ela_132104.txt
,spontaansus,2,,,,,,,,,,bhr_balanss_ee.ela_565106.txt
,impersonaalsus,2,3,2,,,,,,,,bhr_balanss_ee.ela_565106.txt www_mod_gov_ee.ela_178680.txt
,argumentatiivsus,,,,,,,,,,,
www_advent_ee.ela_658698.txt,abstraktsus,2,2,1,2,2,1,3,2,3,,www_pealinn_ee.ela_132426.txt eok_ee.ela_435890.txt
,infotihedus,,,,,,,,,,,
,aja olulisus,2,2,1,2,3,,,,,,www_pealinn_ee.ela_132426.txt eok_ee.ela_435890.txt
,afektiivsus,3,3,2,3,2,2,1,2,2,3,www_riigikogu_ee.ela_224866.txt eok_ee.ela_435890.txt
,formaalsus,,,,,,,,,,,
,interaktiivsus,1,3,1,3,,,,,,,www_riigikogu_ee.ela_224866.txt eok_ee.ela_435890.txt
,instrueerivus,1,2,1,3,1,,,,,,www_pealinn_ee.ela_132426.txt www_post_ee.ela_149870.txt
,keerukus,1,,,,,,,,,,www_post_ee.ela_149870.txt
,subjektiivsus,2,3,2,3,1,2,2,2,,,www_pealinn_ee.ela_132426.txt www_post_ee.ela_149870.txt
,spontaansus,2,1,1,1,,,,,,,www_riigikogu_ee.ela_224866.txt www_post_ee.ela_149870.txt
,impersonaalsus,,,,,,,,,,,
,argumentatiivsus,3,3,1,1,1,1,,,,,www_riigikogu_ee.ela_224866.txt www_post_ee.ela_149870.txt
eok_ee.ela_435890.txt,abstraktsus,,,,,,,,,,,
,infotihedus,3,2,3,2,3,2,2,2,2,,kalah_zzz_ee.ela_52237.txt www_advent_ee.ela_658698.txt
,aja olulisus,3,3,2,2,1,3,1,3,,,kalah_zzz_ee.ela_52237.txt www_advent_ee.ela_658698.txt
,afektiivsus,1,,,,,,,,,,www_eestisport_ee.ela_196071.txt
,formaalsus,2,1,2,1,1,2,2,,,,www_advent_ee.ela_658698.txt www_eestisport_ee.ela_196071.txt
,interaktiivsus,1,1,,,,,,,,,www_advent_ee.ela_658698.txt www_eestisport_ee.ela_196071.txt
,instrueerivus,2,,,,,,,,,,kalah_zzz_ee.ela_52237.txt
,keerukus,2,3,2,1,,,,,,,kalah_zzz_ee.ela_52237.txt toompark_pri_ee.ela_458650.txt
,subjektiivsus,,,,,,,,,,,
