tekst,dimensioon,vastaja 1,vastaja 2,vastaja 3,vastaja 4,vastaja 5,vastaja 6,vastaja 7,vastaja 8,vastaja 9,vastaja 10,võrdlused
,instrueerivus,2,1,2,3,1,2,,,,,www_delfi_ee.ela_361703.txt www_maaleht_ee.ela_246360.txt
,keerukus,1,1,1,3,2,2,2,2,2,1,www_delfi_ee.ela_361703.txt www_maaleht_ee.ela_246360.txt
,subjektiivsus,,,,,,,,,,,
,spontaansus,,,,,,,,,,,
,impersonaalsus,3,3,3,2,2,3,3,3,1,3,untitled.txt www_maaleht_ee.ela_246360.txt
,argumentatiivsus,3,2,,,,,,,,,untitled.txt
www_kohus_ee.ela_34731.txt,abstraktsus,1,,,,,,,,,,www_post_ee.ela_149870.txt
,infotihedus,2,3,2,3,2,2,3,2,2,,www_lapsemure_ee.ela_140896.txt www_post_ee.ela_149870.txt
,aja olulisus,3,2,2,2,3,2,3,2,,,www_lapsemure_ee.ela_140896.txt www_post_ee.ela_149870.txt
,afektiivsus,3,1,,,,,,,,,www_post_ee.ela_149870.txt
,formaalsus,3,2,3,3,2,1,2,,,,www_post_ee.ela_149870.txt toompark_pri_ee.ela_458650.txt
,interaktiivsus,3,3,2,,,,,,,,www_post_ee.ela_149870.txt toompark_pri_ee.ela_458650.txt
,instrueerivus,2,2,3,,,,,,,,www_lapsemure_ee.ela_140896.txt arvamusaed_ee.ela_274676.txt
,keerukus,1,1,2,1,1,2,2,,,,www_lapsemure_ee.ela_140896.txt arvamusaed_ee.ela_274676.txt
,subjektiivsus,,,,,,,,,,,
,spontaansus,,,,,,,,,,,
,impersonaalsus,2,2,3,2,2,,,,,,arvamusaed_ee.ela_274676.txt toompark_pri_ee.ela_458650.txt
,argumentatiivsus,3,2,3,2,,,,,,,toompark_pri_ee.ela_458650.txt
www_seduction_ee.ela_642092.txt,abstraktsus,1,2,1,3,2,2,3,,,,stiimul_ee.ela_330566.txt
,infotihedus,1,,,,,,,,,,stiimul_ee.ela_330566.txt
,aja olulisus,1,1,2,,,,,,,,stiimul_ee.ela_330566.txt
,afektiivsus,3,3,2,3,3,3,2,3,3,3,www_reklaamitrikk_ee.ela_315713.txt stiimul_ee.ela_330566.txt
,formaalsus,,,,,,,,,,,
,interaktiivsus,1,2,1,3,1,,,,,,www_reklaamitrikk_ee.ela_315713.txt stiimul_ee.ela_330566.txt
,instrueerivus,3,1,,,,,,,,,blablabla_ee.ela_504829.txt
,keerukus,1,2,1,1,,,,,,,blablabla_ee.ela_504829.txt stiimul_ee.ela_330566.txt
,subjektiivsus,3,3,3,3,3,3,3,2,3,,blablabla_ee.ela_504829.txt stiimul_ee.ela_330566.txt
,spontaansus,2,3,1,3,3,2,3,,,,www_reklaamitrikk_ee.ela_315713.txt blablabla_ee.ela_504829.txt
,impersonaalsus,2,1,,,,,,,,,www_reklaamitrikk_ee.ela_315713.txt blablabla_ee.ela_504829.txt
,argumentatiivsus,2,1,3,2,1,2,1,,,,www_reklaamitrikk_ee.ela_315713.txt blablabla_ee.ela_504829.txt
stiimul_ee.ela_330566.txt,abstraktsus,1,1,,,,,,,,,www_seduction_ee.ela_642092.txt
,infotihedus,1,3,2,2,1,2,1,1,2,,www_seduction_ee.ela_642092.txt
,aja olulisus,1,,,,,,,,,,www_seduction_ee.ela_642092.txt
,afektiivsus,1,,,,,,,,,,et_wikipedia_org.ela_624820.txt
,formaalsus,1,2,2,2,2,,,,,,www_seduction_ee.ela_642092.txt et_wikipedia_org.ela_624820.txt
,interaktiivsus,1,3,1,3,2,1,1,,,,www_seduction_ee.ela_642092.txt et_wikipedia_org.ela_624820.txt
,instrueerivus,,,,,,,,,,,
,keerukus,1,1,1,1,,,,,,,www_seduction_ee.ela_642092.txt www_lounaleht_ee.ela_576969.txt
,subjektiivsus,1,1,,,,,,,,,www_lounaleht_ee.ela_576969.txt
,spontaansus,1,1,,,,,,,,,et_wikipedia_org.ela_624820.txt www_lounaleht_ee.ela_576969.txt
,impersonaalsus,2,,,,,,,,,,et_wikipedia_org.ela_624820.txt
,argumentatiivsus,2,1,1,,,,,,,,et_wikipedia_org.ela_624820.txt www_lounaleht_ee.ela_576969.txt
www_linnateater_ee.ela_612249.txt,abstraktsus,2,3,2,3,3,2,2,2,,,www_delfi_ee.ela_361703.txt www_admiralmarkets_ee.ela_456804.txt
,infotihedus,1,1,,,,,,,,,www_delfi_ee.ela_361703.txt
,aja olulisus,1,1,,,,,,,,,www_delfi_ee.ela_361703.txt www_admiralmarkets_ee.ela_456804.txt
,afektiivsus,3,3,2,2,,,,,,,www_eestikirik_ee.ela_530609.txt www_delfi_ee.ela_361703.txt
,formaalsus,1,,,,,,,,,,www_delfi_ee.ela_361703.txt
,interaktiivsus,3,3,3,3,3,2,3,,,,www_eestikirik_ee.ela_530609.txt www_delfi_ee.ela_361703.txt
,instrueerivus,1,,,,,,,,,,www_admiralmarkets_ee.ela_456804.txt
,keerukus,2,1,1,2,,,,,,,www_admiralmarkets_ee.ela_456804.txt www_tooelu_ee.ela_624263.txt
,subjektiivsus,3,2,3,3,3,3,3,2,3,3,www_admiralmarkets_ee.ela_456804.txt www_tooelu_ee.ela_624263.txt
,spontaansus,2,2,1,3,3,2,2,2,1,,www_eestikirik_ee.ela_530609.txt www_tooelu_ee.ela_624263.txt
,impersonaalsus,1,,,,,,,,,,www_eestikirik_ee.ela_530609.txt
,argumentatiivsus,2,2,2,2,3,,,,,,www_eestikirik_ee.ela_530609.txt www_tooelu_ee.ela_624263.txt
www_eramets_ee.ela_479405.txt,abstraktsus,1,3,1,,,,,,,,www_unesco_ee.ela_630384.txt www_eestisport_ee.ela_196071.txt
,infotihedus,2,2,2,2,1,3,,,,,www_unesco_ee.ela_630384.txt www_eestisport_ee.ela_196071.txt
,aja olulisus,,,,,,,,,,,
,afektiivsus,,,,,,,,,,,
,formaalsus,3,3,3,2,3,3,3,3,3,3,rahvahaal_delfi_ee.ela_258274.txt www_eestisport_ee.ela_196071.txt
,interaktiivsus,,,,,,,,,,,
,instrueerivus,1,1,1,1,2,2,2,,,,www_ilm_err_ee.ela_196894.txt www_unesco_ee.ela_630384.txt
,keerukus,2,1,2,1,2,1,2,1,,,www_ilm_err_ee.ela_196894.txt www_unesco_ee.ela_630384.txt
,subjektiivsus,,,,,,,,,,,
,spontaansus,,,,,,,,,,,
,impersonaalsus,3,3,3,3,3,3,3,3,2,3,www_ilm_err_ee.ela_196894.txt rahvahaal_delfi_ee.ela_258274.txt
,argumentatiivsus,3,,,,,,,,,,rahvahaal_delfi_ee.ela_258274.txt
www_eestisport_ee.ela_196071.txt,abstraktsus,2,1,,,,,,,,,forte_delfi_ee.ela_88079.txt
,infotihedus,2,2,3,3,2,2,3,,,,www_eramets_ee.ela_479405.txt forte_delfi_ee.ela_88079.txt
,aja olulisus,3,2,3,3,3,3,1,,,,www_eramets_ee.ela_479405.txt forte_delfi_ee.ela_88079.txt
,afektiivsus,1,,,,,,,,,,www_eramets_ee.ela_479405.txt
,formaalsus,1,2,,,,,,,,,eok_ee.ela_435890.txt
,interaktiivsus,1,,,,,,,,,,www_eramets_ee.ela_479405.txt
,instrueerivus,,,,,,,,,,,
,keerukus,1,1,1,1,1,,,,,,forte_delfi_ee.ela_88079.txt forte_delfi_ee.ela_222312.txt
,subjektiivsus,,,,,,,,,,,
,spontaansus,,,,,,,,,,,
,impersonaalsus,3,2,3,2,3,2,3,2,2,,forte_delfi_ee.ela_222312.txt eok_ee.ela_435890.txt
,argumentatiivsus,1,,,,,,,,,,eok_ee.ela_435890.txt
unitedkiters_ee.ela_78733.txt,abstraktsus,3,2,2,,,,,,,,www_epl_ee.ela_685672.txt herba_folklore_ee.ela_93408.txt
,infotihedus,3,,,,,,,,,,herba_folklore_ee.ela_93408.txt
,aja olulisus,1,1,2,1,1,1,1,,,,www_epl_ee.ela_685672.txt herba_folklore_ee.ela_93408.txt
,afektiivsus,3,3,1,2,2,3,2,2,3,3,valitsus_ee.ela_132104.txt herba_folklore_ee.ela_93408.txt
,formaalsus,,,,,,,,,,,
,interaktiivsus,1,1,,,,,,,,,valitsus_ee.ela_132104.txt herba_folklore_ee.ela_93408.txt
,instrueerivus,1,,,,,,,,,,www_epl_ee.ela_685672.txt
,keerukus,1,1,3,2,3,,,,,,www_aialeht_ee.ela_457123.txt www_epl_ee.ela_685672.txt
,subjektiivsus,2,2,2,1,3,3,,,,,www_aialeht_ee.ela_457123.txt www_epl_ee.ela_685672.txt
,spontaansus,3,2,2,1,3,3,,,,,valitsus_ee.ela_132104.txt www_aialeht_ee.ela_457123.txt
,impersonaalsus,1,2,,,,,,,,,www_aialeht_ee.ela_457123.txt
,argumentatiivsus,1,1,,,,,,,,,www_aialeht_ee.ela_457123.txt
herba_folklore_ee.ela_93408.txt,abstraktsus,2,,,,,,,,,,unitedkiters_ee.ela_78733.txt
,infotihedus,1,3,3,2,2,2,3,3,,,www_employers_ee.ela_617415.txt unitedkiters_ee.ela_78733.txt
,aja olulisus,1,,,,,,,,,,unitedkiters_ee.ela_78733.txt
,afektiivsus,,,,,,,,,,,
,formaalsus,2,2,2,3,3,1,3,3,,,unitedkiters_ee.ela_78733.txt www_tuuleenergia_ee.ela_40373.txt
,interaktiivsus,,,,,,,,,,,
,instrueerivus,1,1,,,,,,,,,www_employers_ee.ela_617415.txt reform_ee.ela_24983.txt
,keerukus,2,2,,,,,,,,,www_employers_ee.ela_617415.txt
,subjektiivsus,,,,,,,,,,,
,spontaansus,,,,,,,,,,,
,impersonaalsus,3,1,3,2,3,3,3,3,3,,www_tuuleenergia_ee.ela_40373.txt reform_ee.ela_24983.txt
,argumentatiivsus,,,,,,,,,,,
rahvahaal_delfi_ee.ela_499379.txt,abstraktsus,1,1,1,1,,,,,,,ylle_mrt_ee.ela_101705.txt www_linnaleht_ee.ela_420357.txt
,infotihedus,1,2,2,2,1,1,1,,,,ylle_mrt_ee.ela_101705.txt www_linnaleht_ee.ela_420357.txt
,aja olulisus,,,,,,,,,,,
,afektiivsus,2,3,2,,,,,,,,www_tallegg_ee.ela_33687.txt
,formaalsus,,,,,,,,,,,
,interaktiivsus,1,3,2,2,2,,,,,,www_tallegg_ee.ela_33687.txt www_linnaleht_ee.ela_420357.txt
,instrueerivus,3,2,3,3,2,3,1,2,3,2,ylle_mrt_ee.ela_101705.txt blog_maaleht_ee.ela_73268.txt
,keerukus,1,,,,,,,,,,ylle_mrt_ee.ela_101705.txt
,subjektiivsus,2,3,,,,,,,,,blog_maaleht_ee.ela_73268.txt
,spontaansus,2,2,2,3,,,,,,,blog_maaleht_ee.ela_73268.txt
,impersonaalsus,1,1,3,1,2,,,,,,www_tallegg_ee.ela_33687.txt blog_maaleht_ee.ela_73268.txt
,argumentatiivsus,2,1,1,1,2,,,,,,www_tallegg_ee.ela_33687.txt blog_maaleht_ee.ela_73268.txt
www_linnaleht_ee.ela_420357.txt,abstraktsus,1,1,1,,,,,,,,www_nami-nami_ee.ela_173054.txt rahvahaal_delfi_ee.ela_499379.txt
,infotihedus,2,,,,,,,,,,www_nami-nami_ee.ela_173054.txt
,aja olulisus,1,1,1,1,,,,,,,rahvahaal_delfi_ee.ela_499379.txt
,afektiivsus,3,2,1,2,2,1,2,3,2,3,ekspress_online_2020.txt rahvahaal_delfi_ee.ela_499379.txt
,formaalsus,,,,,,,,,,,
,interaktiivsus,2,3,2,3,1,1,,,,,ekspress_online_2020.txt rahvahaal_delfi_ee.ela_499379.txt
,instrueerivus,2,,,,,,,,,,static_inimene_ee.ela_194968.txt
,keerukus,1,1,1,,,,,,,,www_nami-nami_ee.ela_173054.txt static_inimene_ee.ela_194968.txt
,subjektiivsus,2,3,2,2,3,2,1,2,3,3,www_nami-nami_ee.ela_173054.txt static_inimene_ee.ela_194968.txt
,spontaansus,2,1,1,2,2,2,1,1,,,ekspress_online_2020.txt static_inimene_ee.ela_194968.txt
,impersonaalsus,,,,,,,,,,,
,argumentatiivsus,2,2,1,2,1,1,,,,,ekspress_online_2020.txt static_inimene_ee.ela_194968.txt
www_bsd_ee.ela_638246.txt,abstraktsus,2,3,2,3,,,,,,,www_le_ee.ela_240831.txt www_aialeht_ee.ela_457123.txt
,infotihedus,3,2,3,2,3,3,2,2,,,www_le_ee.ela_240831.txt www_aialeht_ee.ela_457123.txt
,aja olulisus,2,2,2,,,,,,,,www_aialeht_ee.ela_457123.txt
,afektiivsus,1,1,2,,,,,,,,www_aialeht_ee.ela_457123.txt www_hambaarst_ee.ela_423040.txt
,formaalsus,1,3,1,2,1,,,,,,www_aialeht_ee.ela_457123.txt
,interaktiivsus,1,1,1,,,,,,,,www_hambaarst_ee.ela_423040.txt
,instrueerivus,2,2,2,,,,,,,,ylle_mrt_ee.ela_101705.txt www_le_ee.ela_240831.txt
,keerukus,3,3,2,3,1,3,3,1,2,2,ylle_mrt_ee.ela_101705.txt www_le_ee.ela_240831.txt
,subjektiivsus,1,1,,,,,,,,,www_le_ee.ela_240831.txt
,spontaansus,1,1,,,,,,,,,www_hambaarst_ee.ela_423040.txt
,impersonaalsus,2,3,3,3,2,2,,,,,ylle_mrt_ee.ela_101705.txt www_hambaarst_ee.ela_423040.txt
,argumentatiivsus,,,,,,,,,,,
www_aialeht_ee.ela_457123.txt,abstraktsus,1,,,,,,,,,,www_bsd_ee.ela_638246.txt
,infotihedus,1,2,,,,,,,,,www_ekspress_ee.ela_177019.txt
,aja olulisus,1,1,2,1,2,,,,,,www_bsd_ee.ela_638246.txt www_ekspress_ee.ela_177019.txt
,afektiivsus,1,1,1,2,1,1,1,1,,,www_alphagis_ee.ela_403490.txt www_bsd_ee.ela_638246.txt
,formaalsus,,,,,,,,,,,
,interaktiivsus,2,3,3,3,2,3,3,3,2,3,www_alphagis_ee.ela_403490.txt www_bsd_ee.ela_638246.txt
,instrueerivus,3,3,2,2,3,3,2,2,2,2,www_ekspress_ee.ela_177019.txt unitedkiters_ee.ela_78733.txt
,keerukus,2,,,,,,,,,,unitedkiters_ee.ela_78733.txt
,subjektiivsus,,,,,,,,,,,
,spontaansus,3,2,2,2,3,3,3,3,3,,www_alphagis_ee.ela_403490.txt unitedkiters_ee.ela_78733.txt
,impersonaalsus,2,,,,,,,,,,www_alphagis_ee.ela_403490.txt
,argumentatiivsus,1,1,1,3,2,,,,,,www_alphagis_ee.ela_403490.txt unitedkiters_ee.ela_78733.txt
www_horsemarket_ee.ela_436247.txt,abstraktsus,1,1,,,,,,,,,www_mesindus_ee.ela_33384.txt et_wikipedia_org.ela_467359.txt
,infotihedus,2,2,3,2,3,2,2,2,3,,www_mesindus_ee.ela_33384.txt et_wikipedia_org.ela_467359.txt
,aja olulisus,3,3,3,2,3,2,3,2,,,www_mesindus_ee.ela_33384.txt et_wikipedia_org.ela_467359.txt
,afektiivsus,2,2,2,1,,,,,,,et_wikipedia_org.ela_467359.txt
,formaalsus,1,1,2,,,,,,,,et_wikipedia_org.ela_467359.txt www_epl_ee.ela_685672.txt
,interaktiivsus,1,1,1,,,,,,,,et_wikipedia_org.ela_467359.txt www_epl_ee.ela_685672.txt
,instrueerivus,,,,,,,,,,,
,keerukus,1,2,1,,,,,,,,www_mesindus_ee.ela_33384.txt
,subjektiivsus,1,1,2,2,1,,,,,,et_wikipedia_org.ela_624820.txt
,spontaansus,2,,,,,,,,,,et_wikipedia_org.ela_624820.txt
,impersonaalsus,,,,,,,,,,,
,argumentatiivsus,2,2,,,,,,,,,et_wikipedia_org.ela_624820.txt www_epl_ee.ela_685672.txt
www_director_ee.ela_529643.txt,abstraktsus,2,1,2,1,1,,,,,,blablabla_ee.ela_504829.txt www_auto24_ee.ela_469677.txt
,infotihedus,2,2,2,1,2,1,,,,,blablabla_ee.ela_504829.txt www_auto24_ee.ela_469677.txt
,aja olulisus,1,1,2,1,2,,,,,,blablabla_ee.ela_504829.txt www_auto24_ee.ela_469677.txt
,afektiivsus,1,,,,,,,,,,video_usk_ee.ela_152445.txt
,formaalsus,1,,,,,,,,,,www_auto24_ee.ela_469677.txt
,interaktiivsus,1,3,2,2,2,,,,,,video_usk_ee.ela_152445.txt www_auto24_ee.ela_469677.txt
,instrueerivus,1,2,1,2,2,1,,,,,blablabla_ee.ela_504829.txt www_autoleht_ee.ela_469280.txt
,keerukus,1,2,1,2,,,,,,,blablabla_ee.ela_504829.txt www_autoleht_ee.ela_469280.txt
,subjektiivsus,2,1,1,2,2,,,,,,www_autoleht_ee.ela_469280.txt
,spontaansus,1,1,2,1,1,,,,,,video_usk_ee.ela_152445.txt www_autoleht_ee.ela_469280.txt
,impersonaalsus,,,,,,,,,,,
,argumentatiivsus,2,,,,,,,,,,video_usk_ee.ela_152445.txt
www_auto24_ee.ela_469677.txt,abstraktsus,1,2,1,1,,,,,,,www_tuuleenergia_ee.ela_40373.txt www_director_ee.ela_529643.txt
,infotihedus,2,1,3,,,,,,,,www_tuuleenergia_ee.ela_40373.txt www_director_ee.ela_529643.txt
,aja olulisus,2,2,,,,,,,,,www_tuuleenergia_ee.ela_40373.txt
,afektiivsus,2,1,2,3,3,2,2,2,3,3,www_director_ee.ela_529643.txt valitsus_ee.ela_604239.txt
,formaalsus,,,,,,,,,,,
,interaktiivsus,2,2,1,3,,,,,,,www_director_ee.ela_529643.txt valitsus_ee.ela_604239.txt
,instrueerivus,2,,,,,,,,,,www_tuuleenergia_ee.ela_40373.txt
,keerukus,1,2,2,1,1,,,,,,www_tuuleenergia_ee.ela_40373.txt www_lillelapsed_ee.ela_607751.txt
,subjektiivsus,3,3,3,3,3,3,3,2,3,3,www_tuuleenergia_ee.ela_40373.txt www_lillelapsed_ee.ela_607751.txt
,spontaansus,1,2,2,2,2,3,2,3,3,3,www_lillelapsed_ee.ela_607751.txt valitsus_ee.ela_604239.txt
,impersonaalsus,1,,,,,,,,,,www_lillelapsed_ee.ela_607751.txt
,argumentatiivsus,2,2,1,3,3,,,,,,www_lillelapsed_ee.ela_607751.txt valitsus_ee.ela_604239.txt
www_lapsemure_ee.ela_140896.txt,abstraktsus,2,2,1,3,,,,,,,www_unesco_ee.ela_630384.txt www_kohus_ee.ela_34731.txt
,infotihedus,2,2,,,,,,,,,www_unesco_ee.ela_630384.txt
,aja olulisus,2,3,2,2,3,2,,,,,www_unesco_ee.ela_630384.txt www_kohus_ee.ela_34731.txt
,afektiivsus,2,3,2,3,2,3,2,3,3,2,www_unesco_ee.ela_630384.txt uuseesti_ee.ela_112397.txt
,formaalsus,,,,,,,,,,,
,interaktiivsus,1,3,3,3,3,1,,,,,www_unesco_ee.ela_630384.txt uuseesti_ee.ela_112397.txt
,instrueerivus,,,,,,,,,,,
,keerukus,2,2,,,,,,,,,www_kohus_ee.ela_34731.txt
,subjektiivsus,3,3,3,3,2,3,3,3,,,www_kohus_ee.ela_34731.txt www_tuuleenergia_ee.ela_40373.txt
,spontaansus,3,3,3,3,3,2,3,3,3,3,uuseesti_ee.ela_112397.txt www_tuuleenergia_ee.ela_40373.txt
,impersonaalsus,,,,,,,,,,,
,argumentatiivsus,1,1,1,2,,,,,,,uuseesti_ee.ela_112397.txt
www_unesco_ee.ela_630384.txt,abstraktsus,2,2,2,1,,,,,,,www_eramets_ee.ela_479405.txt www_lapsemure_ee.ela_140896.txt
,infotihedus,2,3,2,,,,,,,,www_lapsemure_ee.ela_140896.txt
,aja olulisus,1,1,2,1,,,,,,,www_eramets_ee.ela_479405.txt www_lapsemure_ee.ela_140896.txt
,afektiivsus,,,,,,,,,,,
,formaalsus,2,2,3,3,2,2,2,2,1,,www_lapsemure_ee.ela_140896.txt www_meiekirik_ee.ela_286284.txt
,interaktiivsus,,,,,,,,,,,
,instrueerivus,,,,,,,,,,,
,keerukus,1,,,,,,,,,,www_epl_ee.ela_685672.txt
,subjektiivsus,,,,,,,,,,,
,spontaansus,1,,,,,,,,,,www_meiekirik_ee.ela_286284.txt
,impersonaalsus,2,3,3,2,3,2,3,3,2,,www_meiekirik_ee.ela_286284.txt www_epl_ee.ela_685672.txt
,argumentatiivsus,,,,,,,,,,,
www_riigikogu_ee.ela_224866.txt,abstraktsus,2,1,1,1,2,1,,,,,www_ilm_err_ee.ela_196894.txt www_snap_ee.ela_623342.txt
,infotihedus,,,,,,,,,,,
,aja olulisus,1,2,2,,,,,,,,www_snap_ee.ela_623342.txt
,afektiivsus,2,1,1,1,,,,,,,www_ilm_err_ee.ela_196894.txt
,formaalsus,3,2,2,1,,,,,,,www_ilm_err_ee.ela_196894.txt www_advent_ee.ela_658698.txt
,interaktiivsus,2,3,3,3,2,3,3,3,2,,www_ilm_err_ee.ela_196894.txt www_advent_ee.ela_658698.txt
,instrueerivus,1,1,1,2,1,2,1,,,,www_tallegg_ee.ela_33687.txt www_snap_ee.ela_623342.txt
,keerukus,1,2,1,1,,,,,,,www_tallegg_ee.ela_33687.txt www_snap_ee.ela_623342.txt
,subjektiivsus,1,1,2,2,2,2,2,3,,,www_tallegg_ee.ela_33687.txt www_snap_ee.ela_623342.txt
,spontaansus,1,1,1,3,3,1,2,,,,www_tallegg_ee.ela_33687.txt www_advent_ee.ela_658698.txt
,impersonaalsus,2,2,2,1,,,,,,,www_tallegg_ee.ela_33687.txt www_advent_ee.ela_658698.txt
,argumentatiivsus,1,2,2,2,3,2,2,3,,,www_tallegg_ee.ela_33687.txt www_advent_ee.ela_658698.txt
www_ilm_err_ee.ela_196894.txt,abstraktsus,,,,,,,,,,,
,infotihedus,2,2,3,2,2,2,3,2,,,www_riigikogu_ee.ela_224866.txt www_med24_ee.ela_557549.txt
,aja olulisus,2,2,3,2,2,2,3,2,3,2,www_riigikogu_ee.ela_224866.txt www_med24_ee.ela_557549.txt
,afektiivsus,1,,,,,,,,,,www_riigikogu_ee.ela_224866.txt
,formaalsus,2,1,2,2,3,3,,,,,www_riigikogu_ee.ela_224866.txt www_politsei_ee.ela_40109.txt
,interaktiivsus,1,,,,,,,,,,www_politsei_ee.ela_40109.txt
,instrueerivus,2,1,,,,,,,,,www_med24_ee.ela_557549.txt
,keerukus,2,1,3,1,,,,,,,www_eramets_ee.ela_479405.txt www_med24_ee.ela_557549.txt
,subjektiivsus,,,,,,,,,,,
,spontaansus,,,,,,,,,,,
,impersonaalsus,1,3,,,,,,,,,www_politsei_ee.ela_40109.txt
,argumentatiivsus,2,3,1,3,1,1,,,,,www_eramets_ee.ela_479405.txt www_politsei_ee.ela_40109.txt
valitsus_ee.ela_604239.txt,abstraktsus,3,3,1,2,1,2,3,,,,sport_autonet_ee.ela_515760.txt www_politsei_ee.ela_40109.txt
,infotihedus,2,3,3,2,3,,,,,,sport_autonet_ee.ela_515760.txt www_politsei_ee.ela_40109.txt
,aja olulisus,,,,,,,,,,,
,afektiivsus,,,,,,,,,,,
,formaalsus,2,3,3,3,2,2,3,,,,www_politsei_ee.ela_40109.txt www_auto24_ee.ela_469677.txt
,interaktiivsus,1,,,,,,,,,,www_politsei_ee.ela_40109.txt
,instrueerivus,1,2,3,1,2,2,,,,,sport_autonet_ee.ela_515760.txt www_reklaamitrikk_ee.ela_315713.txt
,keerukus,2,2,2,2,2,2,2,,,,sport_autonet_ee.ela_515760.txt www_reklaamitrikk_ee.ela_315713.txt
,subjektiivsus,2,,,,,,,,,,www_reklaamitrikk_ee.ela_315713.txt
,spontaansus,,,,,,,,,,,
,impersonaalsus,3,3,3,2,2,3,1,3,2,2,www_reklaamitrikk_ee.ela_315713.txt www_auto24_ee.ela_469677.txt
,argumentatiivsus,2,2,2,,,,,,,,www_reklaamitrikk_ee.ela_315713.txt www_auto24_ee.ela_469677.txt
www_politsei_ee.ela_40109.txt,abstraktsus,,,,,,,,,,,
,infotihedus,2,2,2,2,1,3,,,,,et_wikipedia_org.ela_219301.txt valitsus_ee.ela_604239.txt
,aja olulisus,1,1,1,2,1,1,2,3,,,et_wikipedia_org.ela_219301.txt valitsus_ee.ela_604239.txt
,afektiivsus,1,,,,,,,,,,valitsus_ee.ela_604239.txt
,formaalsus,2,3,3,2,2,2,,,,,www_ilm_err_ee.ela_196894.txt valitsus_ee.ela_604239.txt
,interaktiivsus,1,2,,,,,,,,,valitsus_ee.ela_604239.txt
,instrueerivus,2,3,2,3,3,,,,,,et_wikipedia_org.ela_219301.txt www_jeesusekristusekirik_ee.ela_65555.txt
,keerukus,1,1,,,,,,,,,et_wikipedia_org.ela_219301.txt www_jeesusekristusekirik_ee.ela_65555.txt
,subjektiivsus,,,,,,,,,,,
,spontaansus,,,,,,,,,,,
,impersonaalsus,2,3,2,3,2,2,,,,,www_ilm_err_ee.ela_196894.txt www_jeesusekristusekirik_ee.ela_65555.txt
,argumentatiivsus,,,,,,,,,,,
www_hambaarst_ee.ela_475731.txt,abstraktsus,3,3,2,,,,,,,,arhiiv_koolielu_ee.ela_481254.txt www_vnl_ee.ela_670256.txt
,infotihedus,3,2,3,2,2,,,,,,arhiiv_koolielu_ee.ela_481254.txt www_vnl_ee.ela_670256.txt
,aja olulisus,2,,,,,,,,,,arhiiv_koolielu_ee.ela_481254.txt
,afektiivsus,,,,,,,,,,,
,formaalsus,1,2,2,1,2,1,3,,,,www_mesindus_ee.ela_33384.txt www_vnl_ee.ela_670256.txt
,interaktiivsus,,,,,,,,,,,
,instrueerivus,1,1,2,,,,,,,,arhiiv_koolielu_ee.ela_481254.txt www_mod_gov_ee.ela_178680.txt
,keerukus,2,2,3,2,2,1,1,2,2,,arhiiv_koolielu_ee.ela_481254.txt www_mod_gov_ee.ela_178680.txt
,subjektiivsus,,,,,,,,,,,
,spontaansus,1,1,1,,,,,,,,www_mesindus_ee.ela_33384.txt www_mod_gov_ee.ela_178680.txt
,impersonaalsus,3,1,3,3,2,3,3,,,,www_mesindus_ee.ela_33384.txt www_mod_gov_ee.ela_178680.txt
,argumentatiivsus,,,,,,,,,,,
www_vnl_ee.ela_670256.txt,abstraktsus,1,2,,,,,,,,,www_nami-nami_ee.ela_456341.txt
,infotihedus,2,2,2,1,2,,,,,,www_nami-nami_ee.ela_456341.txt www_hambaarst_ee.ela_475731.txt
,aja olulisus,1,1,1,1,2,1,2,2,,,www_nami-nami_ee.ela_456341.txt www_hambaarst_ee.ela_475731.txt
,afektiivsus,1,2,2,,,,,,,,www_hambaarst_ee.ela_475731.txt
,formaalsus,2,2,2,2,1,,,,,,www_nami-nami_ee.ela_456341.txt www_hambaarst_ee.ela_475731.txt
,interaktiivsus,2,2,1,2,2,2,1,,,,www_nami-nami_ee.ela_456341.txt www_hambaarst_ee.ela_475731.txt
,instrueerivus,,,,,,,,,,,
,keerukus,1,1,1,2,,,,,,,www_nami-nami_ee.ela_456341.txt
,subjektiivsus,1,1,2,,,,,,,,et_wikipedia_org.ela_219301.txt
,spontaansus,1,1,,,,,,,,,et_wikipedia_org.ela_219301.txt
,impersonaalsus,2,2,3,2,,,,,,,www_nami-nami_ee.ela_456341.txt et_wikipedia_org.ela_219301.txt
,argumentatiivsus,2,2,1,2,1,1,,,,,www_nami-nami_ee.ela_456341.txt et_wikipedia_org.ela_219301.txt
kalah_zzz_ee.ela_52237.txt,abstraktsus,3,2,3,3,3,3,3,3,3,,video_usk_ee.ela_152445.txt eok_ee.ela_435890.txt
,infotihedus,2,2,2,3,,,,,,,video_usk_ee.ela_152445.txt eok_ee.ela_435890.txt
,aja olulisus,2,,,,,,,,,,video_usk_ee.ela_152445.txt
,afektiivsus,1,,,,,,,,,,video_usk_ee.ela_152445.txt
,formaalsus,1,1,2,,,,,,,,rahvahaal_delfi_ee.ela_135048.txt video_usk_ee.ela_152445.txt
,interaktiivsus,,,,,,,,,,,
,instrueerivus,1,3,,,,,,,,,www_meiekirik_ee.ela_286284.txt eok_ee.ela_435890.txt
,keerukus,2,2,2,2,1,,,,,,www_meiekirik_ee.ela_286284.txt eok_ee.ela_435890.txt
