file_id,abs,afek,aeg,arg,form,imp,info,inst,inter,keer,spont,subj,noun,adj,propn,adv,intj,cconj,sconj,adp,det,num,punct,symbol,particle,pron,abbr,TTR,avg_word_len,avr_sent_len,hapax_legomena,coref,see_pron,see_det,1st_pron,2nd_pron,3rd_pron,active_voice,passive_voice,1st_prs_verb,2nd_prs_verb,3rd_prs_verb,core_verb,verbtype_ratio,da_inf,gerund,supine,verb_particle,pres_tense,past_tense,ind_mood,cond_mood,imp_mood,quot_mood,neg_polarity,nom_case,gen_case,part_case,ill_case,ine_case,ela_case,alla_case,ade_case,abl_case,tra_case,ter_case,ess_case,abe_case,com_case,nsubj,nsubj_cop,modal,acl:relc,csubj,csubj_cop,obj,ccomp,xcomp,obl,nmod,appos,nummod,amod,advcl,voc,cop,conj,cc
mesindus_ee.ela_210638,0.35,1.60,0.90,0.50,0.40,0.25,0.65,0.50,0.80,0.35,1.90,1.90,0.2300,0.0900,0.0300,0.1700,0.0100,0.0100,0.0400,0.0500,0.0200,0.0200,0.1600,0.0100,0.0100,0.1200,0.0100,0.7500,4.7100,11.1100,0.5800,0.5217,0.0100,0.0100,0.0700,0.0100,0.0200,0.1400,0.0100,0.0500,0.0100,0.0700,0.1300,2.2000,0.0300,0.0200,0.0100,0.0300,0.0600,0.0900,0.1200,0.0100,0.0100,0.0100,0.0200,0.1700,0.1800,0.0500,0.0100,0.0300,0.0200,0.0100,0.0200,0.0100,0.0100,0.0100,0.0100,0.0300,0.0300,0.0900,0.0200,0.0600,0.0100,0.0100,0.0100,0.0500,0.0100,0.0100,0.1000,0.1200,0.0100,0.0100,0.0800,0.0600,0.0100,0.0200,0.0200,0.0100
nami-nami_ee.ela_372868,0.20,0.00,2.05,0.25,0.55,1.50,2.00,2.90,0.60,0.45,0.35,0.30,0.3016,0.1032,0.0079,0.0952,0.0079,0.0714,0.0317,0.0238,0.0159,0.0238,0.1746,0.0079,0.0079,0.0238,0.0079,0.6667,5.4127,11.4500,0.4365,0.0789,0.0079,0.0079,0.0079,0.0079,0.0079,0.1984,0.0317,0.0079,0.1667,0.0238,0.0238,3.8333,0.0079,0.0238,0.0079,0.0397,0.1905,0.0397,0.0238,0.0159,0.1667,0.0079,0.0317,0.1508,0.0476,0.0635,0.0079,0.0159,0.0079,0.0079,0.0714,0.0159,0.0476,0.0159,0.0079,0.0079,0.0476,0.0397,0.0079,0.0397,0.0079,0.0079,0.0079,0.1032,0.0794,0.0317,0.1349,0.0159,0.0079,0.0238,0.0635,0.0317,0.0079,0.0079,0.1111,0.0714
no_spam_ee.ela_2227,0.55,0.10,0.55,2.35,2.90,1.45,2.40,1.40,0.70,1.75,0.00,0.00,0.4586,0.0387,0.0552,0.0497,0.0055,0.0331,0.0276,0.0276,0.0110,0.0552,0.0939,0.0166,0.0055,0.0663,0.0497,0.6519,6.6022,18.1000,0.3646,0.1446,0.0166,0.0055,0.0055,0.0166,0.0166,0.0884,0.0331,0.0055,0.0055,0.0552,0.0608,1.1818,0.0221,0.0110,0.0055,0.0442,0.0718,0.0497,0.0718,0.0110,0.0055,0.0055,0.0221,0.1436,0.2597,0.0608,0.0055,0.0055,0.0221,0.0387,0.0829,0.0055,0.0110,0.0055,0.0110,0.0110,0.0110,0.0387,0.0166,0.0497,0.0055,0.0055,0.0055,0.0608,0.0442,0.0055,0.1105,0.2873,0.0276,0.0497,0.0276,0.0221,0.0055,0.0166,0.0552,0.0331
rahvahaal_delfi_ee.ela_135048,0.60,2.50,0.55,1.25,0.15,0.70,0.65,1.75,2.70,0.60,3.00,2.05,0.2230,0.0612,0.0108,0.1331,0.0036,0.0432,0.0216,0.0072,0.0288,0.0863,0.1727,0.0036,0.0036,0.0504,0.0216,0.6583,4.6007,9.9300,0.4676,0.2258,0.0072,0.0072,0.0072,0.0144,0.0072,0.1475,0.0072,0.0108,0.0576,0.0432,0.0683,2.1250,0.0324,0.0072,0.0144,0.0180,0.1367,0.0072,0.0755,0.0144,0.0432,0.0036,0.0216,0.1799,0.0360,0.0827,0.0144,0.0216,0.0288,0.0072,0.0252,0.0036,0.0144,0.0072,0.0072,0.0072,0.0036,0.0288,0.0252,0.0324,0.0072,0.0036,0.0108,0.0683,0.0468,0.0144,0.0576,0.0540,0.0072,0.0576,0.0360,0.0216,0.0036,0.0360,0.0432,0.0432
rahvahaal_delfi_ee.ela_258274,0.40,2.60,0.80,1.70,0.55,1.00,0.85,0.55,0.20,0.15,1.10,2.15,0.2656,0.0750,0.0063,0.1531,0.0031,0.0406,0.0188,0.0281,0.0188,0.0125,0.1406,0.0031,0.0031,0.0750,0.0031,0.6563,4.9594,12.3100,0.4344,0.2824,0.0188,0.0031,0.0031,0.0031,0.0219,0.1625,0.0219,0.0031,0.0031,0.1156,0.0938,2.8750,0.0156,0.0063,0.0188,0.0219,0.1031,0.0656,0.1344,0.0156,0.0031,0.0031,0.0188,0.1719,0.0875,0.0750,0.0188,0.0313,0.0094,0.0094,0.0344,0.0031,0.0219,0.0031,0.0031,0.0063,0.0094,0.0813,0.0406,0.0406,0.0156,0.0031,0.0031,0.0469,0.0406,0.0219,0.0969,0.0500,0.0031,0.0125,0.0500,0.0188,0.0031,0.0406,0.0594,0.0406
rahvahaal_delfi_ee.ela_388979,0.90,2.60,0.75,2.15,0.10,0.65,1.20,0.50,1.00,0.25,0.90,2.10,0.2246,0.0969,0.0189,0.0946,0.0024,0.0307,0.0355,0.0165,0.0213,0.0213,0.1726,0.0024,0.0024,0.0993,0.0024,0.6761,5.2340,12.8200,0.4184,0.4421,0.0165,0.0047,0.0213,0.0095,0.0189,0.1513,0.0118,0.0165,0.0260,0.0662,0.0804,1.6452,0.0331,0.0071,0.0071,0.0355,0.0851,0.0733,0.1087,0.0095,0.0095,0.0024,0.0189,0.1726,0.1087,0.0615,0.0142,0.0118,0.0260,0.0165,0.0355,0.0047,0.0189,0.0071,0.0047,0.0047,0.0165,0.0449,0.0236,0.0402,0.0189,0.0024,0.0095,0.0615,0.0378,0.0307,0.0922,0.0733,0.0024,0.0095,0.0496,0.0331,0.0024,0.0307,0.0284,0.0307
rahvahaal_delfi_ee.ela_499379,0.45,1.00,0.15,0.70,0.00,0.90,1.05,2.40,1.05,0.10,1.10,1.20,0.2022,0.1348,0.0056,0.1067,0.0112,0.0393,0.0506,0.0281,0.0281,0.0225,0.1461,0.0056,0.0056,0.0787,0.0169,0.6742,4.5393,17.8000,0.4270,0.3889,0.0000,0.0112,0.0281,0.0112,0.0112,0.1236,0.0112,0.0169,0.0112,0.0393,0.1011,1.0000,0.0506,0.0281,0.0169,0.0225,0.1011,0.0225,0.0899,0.0112,0.0112,0.0056,0.0562,0.2135,0.0730,0.0843,0.0169,0.0056,0.0056,0.0056,0.0112,0.0112,0.0056,0.0056,0.0056,0.0056,0.0281,0.0730,0.0337,0.0506,0.0169,0.0112,0.0056,0.0449,0.0506,0.0393,0.0730,0.0506,0.0112,0.0112,0.0730,0.0337,0.0056,0.0393,0.0618,0.0393
reform_ee.ela_24983,1.35,0.80,0.60,1.65,0.65,1.30,0.65,2.00,0.40,0.50,0.10,1.20,0.2449,0.0748,0.0068,0.1361,0.0068,0.0816,0.0340,0.0136,0.0272,0.0068,0.1565,0.0068,0.0068,0.0476,0.0068,0.7279,5.3741,14.7000,0.5442,0.1944,0.0204,0.0136,0.0068,0.0068,0.0068,0.1497,0.0204,0.0068,0.0068,0.0816,0.0952,1.2000,0.0612,0.0204,0.0272,0.0204,0.1224,0.0272,0.1224,0.0136,0.0068,0.0068,0.0612,0.1769,0.0476,0.1156,0.0340,0.0204,0.0068,0.0136,0.0068,0.0136,0.0068,0.0136,0.0068,0.0068,0.0136,0.0476,0.0272,0.0612,0.0136,0.0272,0.0136,0.0816,0.0884,0.0204,0.0680,0.0408,0.0068,0.0068,0.0408,0.0408,0.0068,0.0340,0.0884,0.0816
reisiajakiri_gomaailm_ee.ela_530539,0.15,1.10,1.25,0.40,0.35,0.30,1.40,0.60,0.40,0.05,1.00,1.15,0.2383,0.0725,0.0363,0.1192,0.0052,0.0415,0.0518,0.0415,0.0415,0.0052,0.1554,0.0052,0.0052,0.0725,0.0052,0.7047,5.3938,24.1200,0.5648,0.3043,0.0155,0.0104,0.0259,0.0052,0.0052,0.1451,0.0155,0.0415,0.0052,0.0570,0.1036,2.0909,0.0259,0.0104,0.0207,0.0207,0.1244,0.0207,0.1244,0.0052,0.0052,0.0052,0.0415,0.1140,0.1036,0.0881,0.0311,0.0207,0.0259,0.0363,0.0518,0.0052,0.0104,0.0052,0.0052,0.0052,0.0155,0.0518,0.0311,0.0363,0.0207,0.0052,0.0052,0.0415,0.0518,0.0259,0.1140,0.0570,0.0052,0.0052,0.0518,0.0466,0.0052,0.0415,0.0518,0.0415
sport_autonet_ee.ela_515760,0.60,0.65,2.25,0.15,1.10,1.10,2.15,0.60,0.60,1.00,0.20,0.05,0.2061,0.0909,0.1818,0.0606,0.0061,0.0667,0.0061,0.0182,0.0061,0.0970,0.1818,0.0061,0.0061,0.0242,0.0242,0.5939,4.8364,13.7500,0.4303,0.1176,0.0000,0.0061,0.0061,0.0061,0.0061,0.1394,0.0061,0.0061,0.0061,0.1273,0.0424,10.0000,0.0061,0.0061,0.0121,0.0121,0.0424,0.0970,0.1273,0.0061,0.0061,0.0061,0.0061,0.1879,0.1030,0.0606,0.0121,0.0303,0.0364,0.0485,0.0364,0.0121,0.0121,0.0061,0.0182,0.0061,0.0182,0.0727,0.0061,0.0121,0.0182,0.0121,0.0061,0.0788,0.0667,0.0121,0.1636,0.0364,0.0121,0.0667,0.0606,0.0061,0.0061,0.0182,0.0727,0.0667
