file_id;noun;adj;propn;adv;intj;cconj;sconj;adp;det;num;punct;symbol;pron;abbr;TTR;avg_word_len;avr_sent_len;hapax_legomena;coref;see_pron;see_det;1st_pron;2nd_pron;3rd_pron;active_voice;passive_voice;1st_prs_verb;2nd_prs_verb;3rd_prs_verb;core_verb;verbtype_ratio;da_inf;gerund;supine;verb_particle;discourse;pres_tense;past_tense;ind_mood;cond_mood;imp_mood;quot_mood;neg_polarity;nom_case;gen_case;part_case;ill_case;ine_case;ela_case;alla_case;ade_case;abl_case;tra_case;ter_case;ess_case;abe_case;com_case;nsubj;nsubj_cop;modal;acl:relc;csubj;csubj_cop;obj;ccomp;xcomp;obl;nmod;appos;nummod;amod;advcl;voc;cop;conj;cc;yneemid
www_kohus_ee.ela_34731;0.304123711340206;0.0824742268041237;0.0927835051546392;0.0463917525773196;0;0.0412371134020619;0.0103092783505155;0.0515463917525773;0.00515463917525773;0.0721649484536082;0.134020618556701;0;0.0412371134020619;0.00515463917525773;0.706185567010309;5.86082474226804;27.71;0.443298969072165;0.135593220338983;0;0;0;0;0.0206185567010309;0.0876288659793814;0.0309278350515464;0;0;0.0567010309278351;0.0154639175257732;1.88888888888889;0.0103092783505155;0.00515463917525773;0.0103092783505155;0.0206185567010309;0;0.0257731958762887;0.0824742268041237;0.0876288659793814;0;0;0;0.0103092783505155;0.175257731958763;0.190721649484536;0.0463917525773196;0.0103092783505155;0.0412371134020619;0.0309278350515464;0.0154639175257732;0.0360824742268041;0.0103092783505155;0.0103092783505155;0;0;0.00515463917525773;0.00515463917525773;0.0515463917525773;0;0.0206185567010309;0.0154639175257732;0;0;0.0618556701030928;0.0412371134020619;0.0103092783505155;0.175257731958763;0.0824742268041237;0;0.0567010309278351;0.0618556701030928;0.0154639175257732;0;0;0.0670103092783505;0.0412371134020619;0
uuseesti_ee.ela_112397;0.301204819277108;0.0963855421686747;0.192771084337349;0.0963855421686747;0;0.036144578313253;0.0120481927710843;0;0;0.0120481927710843;0.0843373493975904;0;0.0240963855421687;0.0602409638554217;0.771084337349398;7.50602409638554;27.67;0.602409638554217;0.08;0;0;0;0;0;0.120481927710843;0;0;0;0.0963855421686747;0.0240963855421687;3;0.0240963855421687;0;0;0.0120481927710843;0;0.072289156626506;0.0481927710843374;0.108433734939759;0;0;0;0.0120481927710843;0.180722891566265;0.180722891566265;0.0602409638554217;0.0240963855421687;0.0240963855421687;0;0.0481927710843374;0.0481927710843374;0;0.0120481927710843;0;0;0;0;0.108433734939759;0;0.0120481927710843;0.0120481927710843;0;0;0.0602409638554217;0.036144578313253;0.0240963855421687;0.120481927710843;0.192771084337349;0.0120481927710843;0.0120481927710843;0.072289156626506;0.0120481927710843;0;0;0.0602409638554217;0.036144578313253;0
valitsus_ee.ela_132104;0.451851851851852;0.118518518518519;0.0296296296296296;0.0296296296296296;0;0.0666666666666667;0.00740740740740741;0.00740740740740741;0.0148148148148148;0;0.118518518518519;0;0.037037037037037;0;0.725925925925926;7.77037037037037;19.29;0.548148148148148;0.0819672131147541;0.0148148148148148;0;0;0;0;0.111111111111111;0.0518518518518519;0;0;0.0518518518518519;0.0148148148148148;0.588235294117647;0.0296296296296296;0.00740740740740741;0;0.0888888888888889;0;0.133333333333333;0.0296296296296296;0.0740740740740741;0;0;0;0;0.0962962962962963;0.281481481481481;0.118518518518519;0;0.0444444444444444;0.0222222222222222;0.0148148148148148;0.00740740740740741;0.00740740740740741;0.00740740740740741;0;0;0;0.0296296296296296;0.037037037037037;0.00740740740740741;0.00740740740740741;0.0222222222222222;0;0;0.111111111111111;0.0666666666666667;0.0148148148148148;0.0814814814814815;0.2;0;0;0.037037037037037;0;0;0.00740740740740741;0.0962962962962963;0.0666666666666667;0
www_bioneer_ee.ela_243230;0.308270676691729;0.0977443609022556;0.037593984962406;0.0827067669172932;0;0.0225563909774436;0.0451127819548872;0.0526315789473684;0.0075187969924812;0;0.105263157894737;0;0.037593984962406;0;0.721804511278195;6.32330827067669;33.25;0.481203007518797;0.121951219512195;0.0225563909774436;0.0075187969924812;0;0;0;0.150375939849624;0.0150375939849624;0;0;0.075187969924812;0.0902255639097744;0.866666666666667;0.037593984962406;0.0075187969924812;0.0225563909774436;0.0451127819548872;0;0.0977443609022556;0.0451127819548872;0.0902255639097744;0.0075187969924812;0;0;0.0150375939849624;0.0977443609022556;0.203007518796992;0.0601503759398496;0.0225563909774436;0.0150375939849624;0.0075187969924812;0.0150375939849624;0.037593984962406;0.0075187969924812;0.0225563909774436;0;0;0;0.0075187969924812;0.0451127819548872;0.0150375939849624;0.0601503759398496;0.0075187969924812;0.0150375939849624;0;0.0676691729323308;0.037593984962406;0.0075187969924812;0.112781954887218;0.135338345864662;0;0.0075187969924812;0.0601503759398496;0.0150375939849624;0;0.0150375939849624;0.0300751879699248;0.0225563909774436;0
www_epl_ee.ela_679018;0.282894736842105;0.0657894736842105;0.230263157894737;0.0657894736842105;0;0.0263157894736842;0.00657894736842105;0;0;0;0.125;0;0.0263157894736842;0.0394736842105263;0.68421052631579;5.99342105263158;25.33;0.493421052631579;0.0930232558139535;0;0;0;0;0;0.131578947368421;0.0263157894736842;0;0;0.0855263157894737;0.0592105263157895;0.777777777777778;0.0460526315789474;0.00657894736842105;0.0131578947368421;0.0526315789473684;0;0.0657894736842105;0.0789473684210526;0.0921052631578947;0;0;0;0;0.151315789473684;0.197368421052632;0.0657894736842105;0.0131578947368421;0.0723684210526316;0;0.0131578947368421;0.0131578947368421;0.0131578947368421;0.0131578947368421;0;0;0.00657894736842105;0;0.0789473684210526;0;0.0197368421052632;0.0263157894736842;0;0;0.0921052631578947;0.0328947368421053;0.0263157894736842;0.0921052631578947;0.164473684210526;0.0328947368421053;0;0.0263157894736842;0.0131578947368421;0;0;0.0460526315789474;0.0263157894736842;0
www_politsei_ee.ela_40109;0.253012048192771;0.144578313253012;0.0963855421686747;0.0240963855421687;0;0.0481927710843374;0;0;0.0120481927710843;0.0602409638554217;0.108433734939759;0;0.0963855421686747;0.0120481927710843;0.746987951807229;5.42168674698795;20.75;0.542168674698795;0.380952380952381;0.0120481927710843;0;0;0;0.0481927710843374;0.156626506024096;0.0240963855421687;0;0;0.072289156626506;0.0843373493975904;1;0.036144578313253;0;0.0240963855421687;0.0481927710843374;0;0.0963855421686747;0.0602409638554217;0.0963855421686747;0.0120481927710843;0;0;0;0.168674698795181;0.108433734939759;0.036144578313253;0;0.0481927710843374;0.072289156626506;0.0120481927710843;0.0843373493975904;0;0.0120481927710843;0.0120481927710843;0;0.0240963855421687;0;0.0240963855421687;0.036144578313253;0.0120481927710843;0.0240963855421687;0;0;0.0240963855421687;0.0481927710843374;0.036144578313253;0.180722891566265;0.108433734939759;0;0.036144578313253;0.072289156626506;0;0;0.0481927710843374;0.072289156626506;0.0481927710843374;0
no_spam_ee.ela_2227;0.453038674033149;0.0331491712707182;0.0497237569060773;0.0441988950276243;0;0.0276243093922652;0.0220994475138122;0.0220994475138122;0.00552486187845304;0.0497237569060773;0.0883977900552486;0.0110497237569061;0.0607734806629834;0.0441988950276243;0.651933701657459;6.60220994475138;18.1;0.353591160220994;0.134146341463415;0.0165745856353591;0;0;0.0110497237569061;0.0110497237569061;0.0828729281767956;0.0276243093922652;0;0;0.0497237569060773;0.0552486187845304;1.18181818181818;0.0165745856353591;0.00552486187845304;0;0.0386740331491713;0;0.0662983425414365;0.0441988950276243;0.0662983425414365;0.00552486187845304;0;0;0.0165745856353591;0.138121546961326;0.25414364640884;0.0552486187845304;0;0;0.0165745856353591;0.0331491712707182;0.0773480662983425;0;0.00552486187845304;0;0.00552486187845304;0.00552486187845304;0.00552486187845304;0.0331491712707182;0.0110497237569061;0.0441988950276243;0;0;0;0.0552486187845304;0.0386740331491713;0;0.104972375690608;0.281767955801105;0.0220994475138122;0.0441988950276243;0.0220994475138122;0.0165745856353591;0;0.0110497237569061;0.0497237569060773;0.0276243093922652;0
www_tootukassa_ee.ela_395777;0.333333333333333;0.106060606060606;0.0151515151515152;0.0606060606060606;0;0.0681818181818182;0.0151515151515152;0.0454545454545455;0;0.053030303030303;0.113636363636364;0.0151515151515152;0.0303030303030303;0.00757575757575758;0.659090909090909;5.40151515151515;26.4;0.409090909090909;0.0909090909090909;0;0;0;0;0.00757575757575758;0.143939393939394;0.0303030303030303;0;0;0.053030303030303;0.0454545454545455;1;0.00757575757575758;0;0.00757575757575758;0.0757575757575758;0;0.143939393939394;0.0227272727272727;0.0909090909090909;0;0;0;0.0454545454545455;0.0984848484848485;0.204545454545455;0.0378787878787879;0.00757575757575758;0.00757575757575758;0.0378787878787879;0.0984848484848485;0;0;0.0303030303030303;0;0;0;0.00757575757575758;0.0378787878787879;0.00757575757575758;0.0378787878787879;0.0151515151515152;0.00757575757575758;0;0.0378787878787879;0.0681818181818182;0.0151515151515152;0.0984848484848485;0.121212121212121;0.00757575757575758;0.053030303030303;0.0378787878787879;0.0151515151515152;0;0.0151515151515152;0.0984848484848485;0.0681818181818182;0
www_emta_ee.ela_522725;0.342592592592593;0.138888888888889;0.037037037037037;0.0740740740740741;0;0.0185185185185185;0.0185185185185185;0.0277777777777778;0.00925925925925926;0.0462962962962963;0.111111111111111;0.00925925925925926;0.037037037037037;0.0185185185185185;0.722222222222222;6.5462962962963;27;0.435185185185185;0.108108108108108;0.00925925925925926;0;0;0;0.0185185185185185;0.111111111111111;0.0740740740740741;0;0;0.0555555555555556;0.0648148148148148;0.533333333333333;0.0277777777777778;0;0;0.111111111111111;0;0.111111111111111;0.0740740740740741;0.0648148148148148;0.00925925925925926;0;0;0.00925925925925926;0.0740740740740741;0.175925925925926;0.0555555555555556;0;0.037037037037037;0.0833333333333333;0.00925925925925926;0.0185185185185185;0.0185185185185185;0.0185185185185185;0;0;0;0;0.0277777777777778;0;0.0462962962962963;0.00925925925925926;0;0.00925925925925926;0.0740740740740741;0.0185185185185185;0;0.157407407407407;0.12962962962963;0;0.0277777777777778;0.037037037037037;0.00925925925925926;0;0.00925925925925926;0.0277777777777778;0.0185185185185185;0
www_eramets_ee.ela_479405;0.337078651685393;0.235955056179775;0.0449438202247191;0.0561797752808989;0;0.0449438202247191;0.0337078651685393;0;0;0.0561797752808989;0.0898876404494382;0;0;0.0112359550561798;0.707865168539326;7.47191011235955;29.67;0.460674157303371;0;0;0;0;0;0;0.0898876404494382;0.0561797752808989;0;0;0.0561797752808989;0.0337078651685393;0.5;0.0224719101123595;0;0;0.0898876404494382;0;0.0898876404494382;0.0561797752808989;0.0561797752808989;0;0;0;0;0.123595505617978;0.0674157303370787;0.112359550561798;0.0112359550561798;0.0898876404494382;0.0449438202247191;0.0449438202247191;0.0674157303370787;0;0.0337078651685393;0;0;0;0.0337078651685393;0.0337078651685393;0;0.0224719101123595;0;0;0;0.0337078651685393;0.0449438202247191;0.0224719101123595;0.157303370786517;0.0898876404494382;0;0.0561797752808989;0.146067415730337;0.0337078651685393;0;0;0.0674157303370787;0.0449438202247191;0
