tekst,ID1,ID2,ID3,ID4,ID5,ID6,ID7,ID8,ID9,ID10
www_epl_ee.ela_679018.txt,3,1,3,1,0.5,0.5,1,0.5,0.5,1
www_nami-nami_ee.ela_173054.txt,1,3,1,0,2,1,0.5,0.5,3,1
rahvahaal_delfi_ee.ela_388979.txt,1,0,1,0.5,0.5,0,1,0.5,1,1
www_tarbijakaitse_ee.ela_199918.txt,3,0,3,2,2,1,0.5,0.5,2,0.5
www_kohus_ee.ela_34731.txt,3,0,0,2,2,0,0.5,2,2,0
arvamusaed_ee.ela_274676.txt,1,0,0,0.5,0.5,1,0,0.5,2,0
www_unesco_ee.ela_630384.txt,3,2,3,3,2,2,3,0,2,3
www_epl_ee.ela_685672.txt,1,0.5,1,1,0.5,0,0,2,1,2
www_maaleht_ee.ela_246360.txt,1,1,1,0,1,0,0,0,2,1
www_3dnews_ee.ela_435253.txt,3,3,3,1,3,3,3,2,2,3
stiimul_ee.ela_330566.txt,1,0,0,0.5,0.5,1,1,2,1,1
www_lounaleht_ee.ela_576969.txt,3,0,0,2,2,0.5,0.5,0.5,2,2
www_lemmik_ee.ela_519214.txt,1,1,1,0.5,1,1,0.5,0.5,1,1
www_hambaarst_ee.ela_423040.txt,3,3,3,2,3,3,0.5,3,3,3
www_bioneer_ee.ela_243230.txt,3,3,2,2,2,3,0.5,0,3,1
www_ekspress_ee.ela_177019.txt,1,1,0.5,0.5,0.5,1,1,1,1,1
www_seduction_ee.ela_642092.txt,0,0,0,0.5,1,0,1,2,0,0.5
blablabla_ee.ela_504829.txt,0,0,0,2,0,0,1,0,0,0
reisiajakiri_gomaailm_ee.ela_530539.txt,2,0,0,0.5,0,0,0,0,0.5,0
arvamus_postimees_ee.ela_5946.txt,0.5,0,0,2,0,0.5,2,0,1,0.5
www_vorumaateataja_ee.ela_494965.txt,2,1,0,1,2,0,0.5,0.5,1,0.5
www_nami-nami_ee.ela_456341.txt,0.5,0,1,0,0.5,0,0.5,0.5,2,0
www_politsei_ee.ela_40109.txt,3,0,0,2,2,2,0,2,1,3
www_jeesusekristusekirik_ee.ela_65555.txt,1,0,0,0.5,0.5,0,3,1,1,0
valitsus_ee.ela_132104.txt,3,3,1,2,3,2,3,2,2,3
www_pealinn_ee.ela_132426.txt,1,1,3,0.5,1,2,2,2,0.5,2
www_europarl_ee.ela_36110.txt,3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,0.5
no_spam_ee.ela_2227.txt,1,2,2,2,2,1,0.5,0.5,3,0.5
valitsus_ee.ela_604239.txt,3,1,3,2,2,3,3,2,2,3
www_reklaamitrikk_ee.ela_315713.txt,1,0,1,0.5,0.5,0,3,0.5,1,2
www_med24_ee.ela_557549.txt,0,0,0,0,0.5,0,0,0,0.5,0.5
valitsus_ee.ela_480708.txt,1,0,0,1,2,0,0.5,0.5,0.5,1
www_autoleht_ee.ela_469280.txt,3,3,3,2,3,3,2,2,1,3
www_director_ee.ela_529643.txt,1,1,1,0.5,1,0,0.5,0.5,0.5,0.5
mesindus_ee.ela_210638.txt,0,0,0,0,0.5,0,0,0.5,1,0.5
untitled.txt,1,0,1,1,2,1,1,0.5,0.5,1
www_admiralmarkets_ee.ela_333517.txt,3,3,3,2,3,2,0,1,1,3
www_epl_ee.ela_495381.txt,1,1,1,0.5,1,1,3,2,3,3
www_auto24_ee.ela_469677.txt,1,0,1,0,0,1,1,0.5,0.5,1
www_lillelapsed_ee.ela_607751.txt,3,0,0,0,0,0.5,0,0.5,2,3
www_linnateater_ee.ela_612249.txt,1,1,1,1,1,0,0,1,0,0.5
www_tooelu_ee.ela_624263.txt,3,3,3,3,3,2,1,2,0.5,3
www_easl_ee.ela_201171.txt,3,0,0.5,0,0,2,0,2,0.5,1
www_sirp_ee.ela_651305.txt,1,0,2,1,1,0,2,2,1,2
www_employers_ee.ela_617415.txt,3,1,1,0,2,3,2,2,0.5,2
ekspress_online_2020.txt,1,0,0,1,0.5,1,1,1,0,0
