tekst,ID1,ID2,ID3,ID4,ID5,ID6,ID7,ID8,ID9,ID10
www_tooelu_ee.ela_624263.txt,1,1,1,0.5,1,0,1,0,0,0.5
www_easl_ee.ela_201171.txt,0,0,0,0,0,0,0,0,0,2
www_autoleht_ee.ela_469280.txt,0.5,0,0,0,0,1,0.5,0,0,2
www_syndikaat_ee.ela_469373.txt,0.5,0,0,0,3,0,2,0,0,0.5
ylle_mrt_ee.ela_101705.txt,2,0.5,1,2,2,0,2,0,0,1
rahvahaal_delfi_ee.ela_499379.txt,0,0,1,0,1,0,0.5,1,1,0
www_admiralmarkets_ee.ela_456804.txt,2,1,1,1,1,2,0.5,0.5,0.5,3
www_linnateater_ee.ela_612249.txt,2,3,2,3,3,0.5,2,2,2,1
static_inimene_ee.ela_194968.txt,2,0,0,0,2,2,0,1,0,1
www_bioneer_ee.ela_243230.txt,2,0,0,0,2,0.5,0,0,0,3
www_tarbijakaitse_ee.ela_199918.txt,0,0,0,0,0.5,0,0,0,0,0
www_vorumaateataja_ee.ela_494965.txt,0.5,1,0.5,1,1,0,0,0,0,1
www_delfi_ee.ela_361703.txt,0.5,1,0.5,1,1,0.5,1,1,0,1
www_3dnews_ee.ela_435253.txt,2,2,0,1,0,2,0,0,0,3
www_ajakiri_ut_ee.ela_429007.txt,0.5,0,0,2,0,0,0,0,0,1
ekspress_online_2020.txt,0.5,0,0,0,0,0,0,0,0,0
www_hambaarst_ee.ela_423040.txt,2,0,1,0,2,2,0,0,0.5,2
uudised_err_ee.ela_541051.txt,0.5,0,0,0.5,1,0.5,1,0,2,0.5
www_eramets_ee.ela_479405.txt,1,3,0,0,0,1,0,0.5,0,0
www_unesco_ee.ela_630384.txt,0.5,2,0,2,0.5,0,0,2,0,1
www_epl_ee.ela_495381.txt,0,0,0,0,0.5,0,2,0,0,0.5
www_epl_ee.ela_679018.txt,1,0.5,0,0,0.5,1,0.5,0,0,2
valitsus_ee.ela_604239.txt,3,3,1,2,0,0,0,2,1,3
sport_autonet_ee.ela_515760.txt,0.5,2,0,0.5,0.5,1,0,0.5,0,1
